period,bid_price_open,bid_price_high,bid_price_low,bid_price_close,ask_price_open,ask_price_high,ask_price_low,ask_price_close,volume
2000-01-03 00:00:00,17.48,17.49,17.00,17.02,17.48,17.49,17.00,17.02,140500
2000-01-04 00:00:00,17.04,17.08,16.79,16.86,17.04,17.08,16.79,16.86,258000
2000-01-05 00:00:00,17.05,17.58,16.88,17.56,17.05,17.58,16.88,17.56,102700
2000-01-06 00:00:00,17.57,18.18,17.56,18.01,17.57,18.18,17.56,18.01,1335000
2000-01-07 00:00:00,18.19,18.31,18.00,18.00,18.19,18.31,18.00,18.00,620100
2000-01-10 00:00:00,18.16,18.16,17.79,17.94,18.16,18.16,17.79,17.94,171200
2000-01-11 00:00:00,17.79,17.86,17.59,17.72,17.79,17.86,17.59,17.72,39700
2000-01-12 00:00:00,17.44,17.72,17.44,17.46,17.44,17.72,17.44,17.46,135300
2000-01-13 00:00:00,17.63,17.68,17.45,17.54,17.63,17.68,17.45,17.54,45900
2000-01-14 00:00:00,17.38,17.52,17.33,17.41,17.38,17.52,17.33,17.41,76000
2000-01-18 00:00:00,17.19,17.25,16.84,16.99,17.19,17.25,16.84,16.99,34400
2000-01-19 00:00:00,16.90,17.01,16.67,16.67,16.90,17.01,16.67,16.67,125700
2000-01-20 00:00:00,16.84,16.84,16.22,16.22,16.84,16.84,16.22,16.22,99400
2000-01-21 00:00:00,16.47,16.47,16.10,16.30,16.47,16.47,16.10,16.30,180100
2000-01-24 00:00:00,16.24,16.24,15.64,15.87,16.24,16.24,15.64,15.87,190900
2000-01-25 00:00:00,15.80,15.90,15.33,15.57,15.80,15.90,15.33,15.57,63400
2000-01-26 00:00:00,15.71,15.99,15.57,15.57,15.71,15.99,15.57,15.57,300700
2000-01-27 00:00:00,15.73,15.85,15.57,15.65,15.73,15.85,15.57,15.65,54300
2000-01-28 00:00:00,15.63,15.64,14.98,15.38,15.63,15.64,14.98,15.38,29400
2000-01-31 00:00:00,15.24,15.32,15.15,15.29,15.24,15.32,15.15,15.29,16300
2000-02-01 00:00:00,15.29,15.65,15.29,15.57,15.29,15.65,15.29,15.57,42700
2000-02-02 00:00:00,15.65,15.65,15.45,15.64,15.65,15.65,15.45,15.64,49000
2000-02-03 00:00:00,15.72,15.72,15.28,15.37,15.72,15.72,15.28,15.37,183800
2000-02-04 00:00:00,15.48,15.48,15.26,15.35,15.48,15.48,15.26,15.35,105000
2000-02-07 00:00:00,15.44,15.44,15.05,15.06,15.44,15.44,15.05,15.06,49100
2000-02-08 00:00:00,15.08,15.26,14.91,15.02,15.08,15.26,14.91,15.02,134700
2000-02-09 00:00:00,15.01,15.09,14.72,14.72,15.01,15.09,14.72,14.72,33500
2000-02-10 00:00:00,14.75,14.75,14.48,14.60,14.75,14.75,14.48,14.60,131100
2000-02-11 00:00:00,14.56,14.71,14.07,14.24,14.56,14.71,14.07,14.24,24300
2000-02-14 00:00:00,14.42,14.59,14.19,14.47,14.42,14.59,14.19,14.47,24100
2000-02-15 00:00:00,14.52,15.10,14.43,15.10,14.52,15.10,14.43,15.10,32600
2000-02-16 00:00:00,15.08,15.12,14.72,14.75,15.08,15.12,14.72,14.75,17400
