period,bid_price_open,bid_price_high,bid_price_low,bid_price_close,ask_price_open,ask_price_high,ask_price_low,ask_price_close,volume
2000-01-03 00:00:00,19.50,19.50,18.83,18.96,19.50,19.50,18.83,18.96,380300
2000-01-04 00:00:00,18.78,18.78,18.47,18.61,18.78,18.78,18.47,18.61,722200
2000-01-05 00:00:00,18.65,19.10,18.56,19.10,18.65,19.10,18.56,19.10,337800
2000-01-06 00:00:00,19.10,19.88,19.10,19.83,19.10,19.88,19.10,19.83,133100
2000-01-07 00:00:00,19.77,20.28,19.77,20.04,19.77,20.28,19.77,20.04,468000
2000-01-10 00:00:00,20.04,20.04,19.72,19.88,20.04,20.04,19.72,19.88,122100
2000-01-11 00:00:00,19.88,20.03,19.68,19.90,19.88,20.03,19.68,19.90,144800
2000-01-12 00:00:00,19.88,19.88,19.68,19.81,19.88,19.88,19.68,19.81,57300
2000-01-13 00:00:00,19.94,20.21,19.79,20.16,19.94,20.21,19.79,20.16,149200
2000-01-14 00:00:00,20.06,20.06,19.77,20.03,20.06,20.06,19.77,20.03,35700
2000-01-18 00:00:00,19.90,20.39,19.90,20.28,19.90,20.39,19.90,20.28,110500
2000-01-19 00:00:00,20.21,20.43,20.19,20.21,20.21,20.43,20.19,20.21,190300
2000-01-20 00:00:00,20.28,20.28,19.94,20.21,20.28,20.28,19.94,20.21,344300
2000-01-21 00:00:00,20.66,20.87,20.55,20.77,20.66,20.87,20.55,20.77,483300
2000-01-24 00:00:00,20.90,20.97,20.01,20.03,20.90,20.97,20.01,20.03,296500
2000-01-25 00:00:00,20.08,21.04,19.85,19.99,20.08,21.04,19.85,19.99,57800
2000-01-26 00:00:00,19.85,20.19,19.68,19.68,19.85,20.19,19.68,19.68,46900
2000-01-27 00:00:00,19.74,19.90,19.02,19.27,19.74,19.90,19.02,19.27,1688800
2000-01-28 00:00:00,19.23,19.25,18.92,19.05,19.23,19.25,18.92,19.05,33100
2000-01-31 00:00:00,18.69,19.50,18.65,19.50,18.69,19.50,18.65,19.50,101600
2000-02-01 00:00:00,19.50,19.50,19.27,19.45,19.50,19.50,19.27,19.45,114200
2000-02-02 00:00:00,19.50,19.71,19.45,19.58,19.50,19.71,19.45,19.58,29400
2000-02-03 00:00:00,19.54,19.54,19.07,19.34,19.54,19.54,19.07,19.34,96800
2000-02-04 00:00:00,19.16,19.27,18.67,18.78,19.16,19.27,18.67,18.78,65600
2000-02-07 00:00:00,18.78,19.07,18.78,19.00,18.78,19.07,18.78,19.00,55300
