period,bid_price_open,bid_price_high,bid_price_low,bid_price_close,ask_price_open,ask_price_high,ask_price_low,ask_price_close,volume
2000-01-03 00:00:00,15.35,15.35,14.92,15.10,15.35,15.35,14.92,15.10,634300
2000-01-04 00:00:00,14.81,15.04,14.66,14.68,14.81,15.04,14.66,14.68,172000
2000-01-05 00:00:00,14.78,15.01,14.67,14.94,14.78,15.01,14.67,14.94,343600
2000-01-06 00:00:00,15.04,15.27,14.93,15.22,15.04,15.27,14.93,15.22,420800
2000-01-07 00:00:00,15.49,16.22,15.45,16.18,15.49,16.22,15.45,16.18,337100
2000-01-10 00:00:00,16.02,16.13,15.76,15.82,16.02,16.13,15.76,15.82,451700
2000-01-11 00:00:00,15.89,16.04,15.78,15.82,15.89,16.04,15.78,15.82,142900
2000-01-12 00:00:00,15.93,16.06,15.85,15.90,15.93,16.06,15.85,15.90,84300
2000-01-13 00:00:00,16.00,16.12,15.78,15.99,16.00,16.12,15.78,15.99,233800
2000-01-14 00:00:00,16.25,16.26,15.85,16.04,16.25,16.26,15.85,16.04,76100
2000-01-18 00:00:00,15.86,15.97,15.71,15.77,15.86,15.97,15.71,15.77,218300
2000-01-19 00:00:00,15.84,15.96,15.74,15.88,15.84,15.96,15.74,15.88,137800
2000-01-20 00:00:00,15.97,15.97,15.53,15.67,15.97,15.97,15.53,15.67,425500
2000-01-21 00:00:00,15.76,15.76,15.35,15.49,15.76,15.76,15.35,15.49,345000
2000-01-24 00:00:00,15.61,15.61,14.78,15.04,15.61,15.61,14.78,15.04,278200
2000-01-25 00:00:00,14.99,15.04,14.82,14.86,14.99,15.04,14.82,14.86,85000
2000-01-26 00:00:00,14.95,15.13,14.89,14.99,14.95,15.13,14.89,14.99,385500
2000-01-27 00:00:00,14.99,15.29,14.87,15.27,14.99,15.29,14.87,15.27,67800
2000-01-28 00:00:00,14.97,15.29,14.97,15.15,14.97,15.29,14.97,15.15,37100
2000-01-31 00:00:00,14.92,15.43,14.77,15.43,14.92,15.43,14.77,15.43,195800
2000-02-01 00:00:00,15.30,15.33,15.03,15.27,15.30,15.33,15.03,15.27,104000
2000-02-02 00:00:00,15.34,15.39,15.17,15.30,15.34,15.39,15.17,15.30,72700
2000-02-03 00:00:00,15.18,15.29,15.02,15.09,15.18,15.29,15.02,15.09,87900
2000-02-04 00:00:00,15.34,15.34,15.01,15.08,15.34,15.34,15.01,15.08,137500
2000-02-07 00:00:00,15.02,15.15,14.96,15.06,15.02,15.15,14.96,15.06,31600
2000-02-08 00:00:00,15.27,15.37,15.17,15.25,15.27,15.37,15.17,15.25,314700
2000-02-09 00:00:00,15.26,15.27,14.95,15.12,15.26,15.27,14.95,15.12,90900
2000-02-10 00:00:00,15.05,15.05,14.61,14.61,15.05,15.05,14.61,14.61,149100
2000-02-11 00:00:00,14.76,14.76,14.29,14.33,14.76,14.76,14.29,14.33,166800
2000-02-14 00:00:00,14.37,14.51,14.29,14.40,14.37,14.51,14.29,14.40,209200
2000-02-15 00:00:00,14.51,14.73,14.38,14.72,14.51,14.73,14.38,14.72,54500
2000-02-16 00:00:00,14.69,14.70,14.40,14.51,14.69,14.70,14.40,14.51,315500
2000-02-17 00:00:00,14.52,14.65,14.30,14.30,14.52,14.65,14.30,14.30,113700
2000-02-18 00:00:00,14.34,14.36,13.98,14.13,14.34,14.36,13.98,14.13,191300
2000-02-22 00:00:00,14.25,14.42,14.02,14.36,14.25,14.42,14.02,14.36,266600
2000-02-23 00:00:00,14.36,14.37,14.02,14.05,14.36,14.37,14.02,14.05,103200
2000-02-24 00:00:00,14.06,14.06,13.58,13.76,14.06,14.06,13.58,13.76,166100
2000-02-25 00:00:00,13.66,13.81,13.34,13.41,13.66,13.81,13.34,13.41,258800
2000-02-28 00:00:00,13.58,13.77,13.35,13.67,13.58,13.77,13.35,13.67,222000
2000-02-29 00:00:00,13.77,13.82,13.61,13.62,13.77,13.82,13.61,13.62,131300
2000-03-01 00:00:00,13.56,13.69,13.45,13.50,13.56,13.69,13.45,13.50,295500
2000-03-02 00:00:00,13.39,13.59,13.39,13.53,13.39,13.59,13.39,13.53,1447500
2000-03-03 00:00:00,13.57,13.61,13.40,13.46,13.57,13.61,13.40,13.46,220900
2000-03-06 00:00:00,13.33,13.49,13.13,13.13,13.33,13.49,13.13,13.13,315100
2000-03-07 00:00:00,12.75,12.75,12.18,12.43,12.75,12.75,12.18,12.43,224100
2000-03-08 00:00:00,12.57,12.95,12.36,12.81,12.57,12.95,12.36,12.81,309900
2000-03-09 00:00:00,12.85,13.26,12.78,13.15,12.85,13.26,12.78,13.15,1267300
2000-03-10 00:00:00,13.15,13.28,12.91,13.00,13.15,13.28,12.91,13.00,1967700
2000-03-13 00:00:00,12.72,13.00,12.70,12.79,12.72,13.00,12.70,12.79,1061900
2000-03-14 00:00:00,12.95,12.95,12.62,12.72,12.95,12.95,12.62,12.72,552800
2000-03-15 00:00:00,12.73,13.59,12.64,13.53,12.73,13.59,12.64,13.53,1582200
2000-03-16 00:00:00,13.94,14.36,13.78,14.11,13.94,14.36,13.78,14.11,580200
