period,bid_price_open,bid_price_high,bid_price_low,bid_price_close,ask_price_open,ask_price_high,ask_price_low,ask_price_close,volume
2000-01-03 00:00:00,14.99,14.99,14.10,14.22,14.99,14.99,14.10,14.22,176700
2000-01-04 00:00:00,14.23,14.23,13.79,13.79,14.23,14.23,13.79,13.79,93500
2000-01-05 00:00:00,14.10,14.20,13.91,14.14,14.10,14.20,13.91,14.14,273400
2000-01-06 00:00:00,14.11,14.11,13.95,14.11,14.11,14.11,13.95,14.11,34500
2000-01-07 00:00:00,14.14,14.23,14.07,14.23,14.14,14.23,14.07,14.23,46200
2000-01-10 00:00:00,14.23,14.32,14.20,14.28,14.23,14.32,14.20,14.28,15500
2000-01-11 00:00:00,14.22,14.22,14.02,14.13,14.22,14.22,14.02,14.13,25700
2000-01-12 00:00:00,13.91,14.10,13.91,13.98,13.91,14.10,13.91,13.98,36700
2000-01-13 00:00:00,14.11,14.11,13.85,13.85,14.11,14.11,13.85,13.85,139600
2000-01-14 00:00:00,13.87,13.97,13.80,13.97,13.87,13.97,13.80,13.97,45700
2000-01-18 00:00:00,13.95,14.13,13.91,13.91,13.95,14.13,13.91,13.91,46000
2000-01-19 00:00:00,13.87,14.01,13.87,13.92,13.87,14.01,13.87,13.92,26000
2000-01-20 00:00:00,13.94,14.06,13.91,13.98,13.94,14.06,13.91,13.98,112500
2000-01-21 00:00:00,14.27,14.45,14.18,14.44,14.27,14.45,14.18,14.44,201100
2000-01-24 00:00:00,14.47,14.47,14.24,14.24,14.47,14.47,14.24,14.24,64300
2000-01-25 00:00:00,14.06,14.23,13.79,13.91,14.06,14.23,13.79,13.91,56900
2000-01-26 00:00:00,13.88,13.96,13.80,13.85,13.88,13.96,13.80,13.85,31400
2000-01-27 00:00:00,13.89,13.95,13.76,13.76,13.89,13.95,13.76,13.76,18700
2000-01-28 00:00:00,13.74,13.79,13.59,13.68,13.74,13.79,13.59,13.68,28400
2000-01-31 00:00:00,13.60,14.31,13.59,14.31,13.60,14.31,13.59,14.31,414800
2000-02-01 00:00:00,14.29,14.29,14.14,14.21,14.29,14.29,14.14,14.21,23200
2000-02-02 00:00:00,14.24,14.27,14.14,14.14,14.24,14.27,14.14,14.14,14500
2000-02-03 00:00:00,14.15,14.30,14.08,14.11,14.15,14.30,14.08,14.11,96100
2000-02-04 00:00:00,14.24,14.24,14.04,14.04,14.24,14.24,14.04,14.04,19300
2000-02-07 00:00:00,13.97,14.05,13.93,14.00,13.97,14.05,13.93,14.00,23000
2000-02-08 00:00:00,14.17,14.24,14.03,14.03,14.17,14.24,14.03,14.03,32600
2000-02-09 00:00:00,14.06,14.11,13.97,14.03,14.06,14.11,13.97,14.03,16300
2000-02-10 00:00:00,13.87,14.01,13.82,13.83,13.87,14.01,13.82,13.83,83200
2000-02-11 00:00:00,13.84,13.84,13.52,13.59,13.84,13.84,13.52,13.59,92500
2000-02-14 00:00:00,13.59,13.68,13.53,13.60,13.59,13.68,13.53,13.60,11600
2000-02-15 00:00:00,13.58,13.63,13.51,13.57,13.58,13.63,13.51,13.57,26100
2000-02-16 00:00:00,13.54,13.60,13.44,13.51,13.54,13.60,13.44,13.51,154000
2000-02-17 00:00:00,13.51,13.51,13.40,13.43,13.51,13.51,13.40,13.43,10700
2000-02-18 00:00:00,13.30,13.30,12.93,12.94,13.30,13.30,12.93,12.94,14900
2000-02-22 00:00:00,12.98,12.99,12.83,12.89,12.98,12.99,12.83,12.89,32000
2000-02-23 00:00:00,12.91,12.91,12.57,12.62,12.91,12.91,12.57,12.62,51900
2000-02-24 00:00:00,12.71,13.21,12.11,12.20,12.71,13.21,12.11,12.20,104700
2000-02-25 00:00:00,12.24,12.40,12.14,12.14,12.24,12.40,12.14,12.14,7400
2000-02-28 00:00:00,12.18,12.60,12.11,12.49,12.18,12.60,12.11,12.49,195500
2000-02-29 00:00:00,12.50,12.59,12.45,12.57,12.50,12.59,12.45,12.57,9100
2000-03-01 00:00:00,13.03,13.17,13.02,13.13,13.03,13.17,13.02,13.13,46100
2000-03-02 00:00:00,13.25,13.53,13.25,13.47,13.25,13.53,13.25,13.47,105600
2000-03-03 00:00:00,13.73,13.78,13.59,13.59,13.73,13.78,13.59,13.59,45600
2000-03-06 00:00:00,13.42,13.42,13.21,13.21,13.42,13.42,13.21,13.21,79200
2000-03-07 00:00:00,13.42,13.49,12.97,13.05,13.42,13.49,12.97,13.05,81900
2000-03-08 00:00:00,12.91,13.42,12.91,13.14,12.91,13.42,12.91,13.14,24900
2000-03-09 00:00:00,13.02,13.30,13.02,13.25,13.02,13.30,13.02,13.25,156700
2000-03-10 00:00:00,13.23,13.39,13.14,13.25,13.23,13.39,13.14,13.25,22600
2000-03-13 00:00:00,13.03,13.34,13.03,13.29,13.03,13.34,13.03,13.29,186200
2000-03-14 00:00:00,13.17,13.27,13.08,13.20,13.17,13.27,13.08,13.20,170000
2000-03-15 00:00:00,13.08,13.44,13.06,13.27,13.08,13.44,13.06,13.27,213500
2000-03-16 00:00:00,13.51,14.03,13.49,13.79,13.51,14.03,13.49,13.79,53000
2000-03-17 00:00:00,13.91,14.14,13.86,13.90,13.91,14.14,13.86,13.90,62800
2000-03-20 00:00:00,13.96,13.99,13.76,13.84,13.96,13.99,13.76,13.84,61300
2000-03-21 00:00:00,13.73,13.88,13.67,13.75,13.73,13.88,13.67,13.75,89700
2000-03-22 00:00:00,13.63,13.73,13.39,13.43,13.63,13.73,13.39,13.43,48500
2000-03-23 00:00:00,13.53,13.71,13.41,13.66,13.53,13.71,13.41,13.66,7100
2000-03-24 00:00:00,13.77,13.77,13.50,13.53,13.77,13.77,13.50,13.53,24300
2000-03-27 00:00:00,13.61,13.74,13.61,13.72,13.61,13.74,13.61,13.72,33000
2000-03-28 00:00:00,13.74,13.75,13.61,13.65,13.74,13.75,13.61,13.65,17600
2000-03-29 00:00:00,13.83,13.98,13.76,13.90,13.83,13.98,13.76,13.90,12900
2000-03-30 00:00:00,13.89,14.01,13.85,13.87,13.89,14.01,13.85,13.87,33600
2000-03-31 00:00:00,13.97,13.99,13.74,13.95,13.97,13.99,13.74,13.95,59400
2000-04-03 00:00:00,13.90,14.07,13.79,14.04,13.90,14.07,13.79,14.04,80900
2000-04-04 00:00:00,14.37,14.64,14.10,14.23,14.37,14.64,14.10,14.23,64500
2000-04-05 00:00:00,14.58,14.68,14.42,14.42,14.58,14.68,14.42,14.42,11000
2000-04-06 00:00:00,14.55,14.61,14.43,14.51,14.55,14.61,14.43,14.51,129200
2000-04-07 00:00:00,14.57,14.57,14.36,14.47,14.57,14.57,14.36,14.47,169700
2000-04-10 00:00:00,14.37,14.61,14.35,14.44,14.37,14.61,14.35,14.44,26600
2000-04-11 00:00:00,14.56,14.88,14.56,14.81,14.56,14.88,14.56,14.81,28300
2000-04-12 00:00:00,14.95,15.13,14.89,14.94,14.95,15.13,14.89,14.94,76000
2000-04-13 00:00:00,14.95,14.98,14.85,14.96,14.95,14.98,14.85,14.96,25000
2000-04-14 00:00:00,14.98,14.99,14.27,14.41,14.98,14.99,14.27,14.41,138300
2000-04-17 00:00:00,14.44,14.44,13.57,14.19,14.44,14.44,13.57,14.19,117800
2000-04-18 00:00:00,14.22,14.40,14.22,14.23,14.22,14.40,14.22,14.23,47600
2000-04-19 00:00:00,14.29,14.36,14.23,14.36,14.29,14.36,14.23,14.36,7200
2000-04-20 00:00:00,14.47,14.48,14.41,14.41,14.47,14.48,14.41,14.41,8000
2000-04-24 00:00:00,14.49,14.85,14.49,14.80,14.49,14.85,14.49,14.80,16700
2000-04-25 00:00:00,14.92,15.29,14.81,15.24,14.92,15.29,14.81,15.24,18300
2000-04-26 00:00:00,15.25,15.33,15.15,15.21,15.25,15.33,15.15,15.21,23400
2000-04-27 00:00:00,15.07,15.18,14.87,14.87,15.07,15.18,14.87,14.87,11100
2000-04-28 00:00:00,14.87,14.95,14.77,14.86,14.87,14.95,14.77,14.86,9700
2000-05-01 00:00:00,14.73,14.91,14.73,14.86,14.73,14.91,14.73,14.86,27500
2000-05-02 00:00:00,14.76,14.84,14.28,14.32,14.76,14.84,14.28,14.32,24200
2000-05-03 00:00:00,14.35,14.87,14.27,14.37,14.35,14.87,14.27,14.37,183600
2000-05-04 00:00:00,14.18,14.40,14.13,14.35,14.18,14.40,14.13,14.35,28000
2000-05-05 00:00:00,14.26,14.38,14.25,14.38,14.26,14.38,14.25,14.38,14900
2000-05-08 00:00:00,14.22,14.64,14.22,14.48,14.22,14.64,14.22,14.48,32300
2000-05-09 00:00:00,14.40,14.49,14.35,14.43,14.40,14.49,14.35,14.43,10300
2000-05-10 00:00:00,14.49,14.80,14.46,14.71,14.49,14.80,14.46,14.71,38200
2000-05-11 00:00:00,14.75,14.95,14.75,14.93,14.75,14.95,14.75,14.93,47900
2000-05-12 00:00:00,14.89,14.89,14.64,14.69,14.89,14.89,14.64,14.69,12000
2000-05-15 00:00:00,14.63,15.06,14.63,14.98,14.63,15.06,14.63,14.98,919300
2000-05-16 00:00:00,14.93,15.03,14.79,14.91,14.93,15.03,14.79,14.91,906400
2000-05-17 00:00:00,14.79,14.79,14.62,14.68,14.79,14.79,14.62,14.68,6600
2000-05-18 00:00:00,14.80,14.95,14.73,14.80,14.80,14.95,14.73,14.80,12000
2000-05-19 00:00:00,14.51,14.61,14.36,14.53,14.51,14.61,14.36,14.53,7400
2000-05-22 00:00:00,14.63,14.65,14.47,14.63,14.63,14.65,14.47,14.63,14800
2000-05-23 00:00:00,14.59,14.59,14.36,14.36,14.59,14.59,14.36,14.36,15100
2000-05-24 00:00:00,14.52,14.70,14.50,14.60,14.52,14.70,14.50,14.60,14700
2000-05-25 00:00:00,14.64,14.64,14.36,14.36,14.64,14.64,14.36,14.36,25000
2000-05-26 00:00:00,14.59,14.72,14.46,14.64,14.59,14.72,14.46,14.64,114600
2000-05-30 00:00:00,14.76,14.76,14.58,14.75,14.76,14.76,14.58,14.75,28400
2000-05-31 00:00:00,14.67,14.85,14.67,14.83,14.67,14.85,14.67,14.83,9300
2000-06-01 00:00:00,14.78,14.93,14.75,14.93,14.78,14.93,14.75,14.93,6800
2000-06-02 00:00:00,14.88,14.97,14.81,14.89,14.88,14.97,14.81,14.89,50800
2000-06-05 00:00:00,14.69,14.69,14.54,14.54,14.69,14.69,14.54,14.54,16800
2000-06-06 00:00:00,14.64,14.93,14.64,14.89,14.64,14.93,14.64,14.89,46200
2000-06-07 00:00:00,14.77,14.99,14.77,14.94,14.77,14.99,14.77,14.94,32400
2000-06-08 00:00:00,14.93,15.06,14.87,15.03,14.93,15.06,14.87,15.03,8100
2000-06-09 00:00:00,15.04,15.24,15.04,15.22,15.04,15.24,15.04,15.22,134300
2000-06-12 00:00:00,15.28,15.28,15.11,15.15,15.28,15.28,15.11,15.15,44800
2000-06-13 00:00:00,15.24,15.53,15.24,15.48,15.24,15.53,15.24,15.48,31200
2000-06-14 00:00:00,15.57,15.57,15.32,15.42,15.57,15.57,15.32,15.42,37800
2000-06-15 00:00:00,15.42,15.60,15.33,15.33,15.42,15.60,15.33,15.33,227100
2000-06-16 00:00:00,15.33,15.51,15.17,15.17,15.33,15.51,15.17,15.17,236000
2000-06-19 00:00:00,15.38,15.52,15.34,15.41,15.38,15.52,15.34,15.41,91800
2000-06-20 00:00:00,15.29,15.32,15.14,15.25,15.29,15.32,15.14,15.25,240200
2000-06-21 00:00:00,15.15,15.43,15.15,15.30,15.15,15.43,15.15,15.30,175800
2000-06-22 00:00:00,15.22,15.27,15.20,15.20,15.22,15.27,15.20,15.20,15400
2000-06-23 00:00:00,15.23,15.36,15.23,15.25,15.23,15.36,15.23,15.25,39200
2000-06-26 00:00:00,15.36,15.38,15.20,15.20,15.36,15.38,15.20,15.20,14300
2000-06-27 00:00:00,15.15,15.23,14.79,14.79,15.15,15.23,14.79,14.79,3486300
2000-06-28 00:00:00,14.78,14.91,14.52,14.91,14.78,14.91,14.52,14.91,1770500
2000-06-29 00:00:00,14.65,14.74,14.52,14.67,14.65,14.74,14.52,14.67,11500
2000-06-30 00:00:00,14.64,14.84,14.28,14.33,14.64,14.84,14.28,14.33,4043900
2000-07-03 00:00:00,14.67,14.79,14.62,14.75,14.67,14.79,14.62,14.75,255100
2000-07-05 00:00:00,14.32,15.15,14.32,14.89,14.32,15.15,14.32,14.89,2175000
2000-07-06 00:00:00,14.89,15.05,14.89,14.90,14.89,15.05,14.89,14.90,366400
2000-07-07 00:00:00,14.85,15.11,14.85,15.06,14.85,15.11,14.85,15.06,38000
2000-07-10 00:00:00,15.18,15.26,15.03,15.06,15.18,15.26,15.03,15.06,68100
2000-07-11 00:00:00,15.05,15.05,14.92,14.92,15.05,15.05,14.92,14.92,6800
2000-07-12 00:00:00,15.00,15.05,14.96,14.98,15.00,15.05,14.96,14.98,6100
2000-07-13 00:00:00,15.02,15.05,14.90,15.05,15.02,15.05,14.90,15.05,5200
2000-07-14 00:00:00,15.02,15.02,14.73,14.84,15.02,15.02,14.73,14.84,62000
2000-07-17 00:00:00,14.76,14.85,14.66,14.72,14.76,14.85,14.66,14.72,149200
2000-07-18 00:00:00,14.75,14.85,14.63,14.66,14.75,14.85,14.63,14.66,172300
2000-07-19 00:00:00,14.89,14.91,14.70,14.81,14.89,14.91,14.70,14.81,171000
2000-07-20 00:00:00,14.76,14.78,14.46,14.57,14.76,14.78,14.46,14.57,92600
2000-07-21 00:00:00,14.70,14.85,14.58,14.72,14.70,14.85,14.58,14.72,11800
2000-07-24 00:00:00,14.66,14.79,14.60,14.67,14.66,14.79,14.60,14.67,87400
2000-07-25 00:00:00,14.89,14.90,14.76,14.80,14.89,14.90,14.76,14.80,133100
2000-07-26 00:00:00,14.87,14.87,14.66,14.66,14.87,14.87,14.66,14.66,4900
2000-07-27 00:00:00,14.75,14.75,14.58,14.60,14.75,14.75,14.58,14.60,4400
2000-07-28 00:00:00,14.69,14.69,14.51,14.51,14.69,14.69,14.51,14.51,11500
2000-07-31 00:00:00,14.66,14.71,14.55,14.55,14.66,14.71,14.55,14.55,54000
2000-08-01 00:00:00,14.65,14.89,14.62,14.87,14.65,14.89,14.62,14.87,9500
2000-08-02 00:00:00,14.90,15.12,14.90,15.12,14.90,15.12,14.90,15.12,29700
2000-08-03 00:00:00,15.12,15.27,15.12,15.14,15.12,15.27,15.12,15.14,59500
2000-08-04 00:00:00,14.97,15.15,14.84,15.06,14.97,15.15,14.84,15.06,17600
2000-08-07 00:00:00,15.02,15.41,15.02,15.35,15.02,15.41,15.02,15.35,36900
2000-08-08 00:00:00,15.07,15.07,14.92,14.95,15.07,15.07,14.92,14.95,53600
2000-08-09 00:00:00,14.92,14.95,14.66,14.71,14.92,14.95,14.66,14.71,75400
2000-08-10 00:00:00,14.72,14.75,14.61,14.71,14.72,14.75,14.61,14.71,4600
