period,bid_price_open,bid_price_high,bid_price_low,bid_price_close,ask_price_open,ask_price_high,ask_price_low,ask_price_close,volume
2000-01-03 00:00:00,24.03,24.03,23.30,23.48,24.03,24.03,23.30,23.48,246700
2000-01-04 00:00:00,23.40,23.41,22.89,22.95,23.40,23.41,22.89,22.95,35300
2000-01-05 00:00:00,23.08,23.08,22.65,22.74,23.08,23.08,22.65,22.74,137600
2000-01-06 00:00:00,22.72,22.91,22.60,22.81,22.72,22.91,22.60,22.81,50000
2000-01-07 00:00:00,22.84,23.09,22.75,23.09,22.84,23.09,22.75,23.09,22100
2000-01-10 00:00:00,24.99,25.53,24.51,25.45,24.99,25.53,24.51,25.45,31800
2000-01-11 00:00:00,25.21,25.21,24.76,24.78,25.21,25.21,24.76,24.78,17900
2000-01-12 00:00:00,24.97,24.97,24.27,24.36,24.97,24.97,24.27,24.36,12400
2000-01-13 00:00:00,24.58,25.14,24.49,25.09,24.58,25.14,24.49,25.09,600000
2000-01-14 00:00:00,25.26,25.26,24.73,24.87,25.26,25.26,24.73,24.87,23600
2000-01-18 00:00:00,24.70,24.70,24.39,24.41,24.70,24.70,24.39,24.41,417300
2000-01-19 00:00:00,24.49,24.99,24.41,24.99,24.49,24.99,24.41,24.99,10400
2000-01-20 00:00:00,25.12,25.19,24.70,24.80,25.12,25.19,24.70,24.80,64200
2000-01-21 00:00:00,24.70,24.84,24.56,24.75,24.70,24.84,24.56,24.75,37300
2000-01-24 00:00:00,24.83,24.95,24.01,24.01,24.83,24.95,24.01,24.01,72100
2000-01-25 00:00:00,24.22,24.36,24.03,24.18,24.22,24.36,24.03,24.18,24400
2000-01-26 00:00:00,24.17,24.26,24.03,24.07,24.17,24.26,24.03,24.07,10500
2000-01-27 00:00:00,24.18,24.33,23.93,23.93,24.18,24.33,23.93,23.93,10700
2000-01-28 00:00:00,23.98,24.05,23.44,23.44,23.98,24.05,23.44,23.44,18100
2000-01-31 00:00:00,23.54,23.54,23.14,23.34,23.54,23.54,23.14,23.34,27500
2000-02-01 00:00:00,23.42,23.66,23.37,23.64,23.42,23.66,23.37,23.64,161600
2000-02-02 00:00:00,23.81,24.22,23.81,24.22,23.81,24.22,23.81,24.22,7700
2000-02-03 00:00:00,24.18,24.50,24.04,24.44,24.18,24.50,24.04,24.44,31500
2000-02-04 00:00:00,24.59,24.66,24.36,24.52,24.59,24.66,24.36,24.52,11300
2000-02-07 00:00:00,24.51,24.51,24.01,24.12,24.51,24.51,24.01,24.12,36400
