period,bid_price_open,bid_price_high,bid_price_low,bid_price_close,ask_price_open,ask_price_high,ask_price_low,ask_price_close,volume
2000-01-03 00:00:00,24.82,24.82,23.90,24.12,24.82,24.82,23.90,24.12,212900
2000-01-04 00:00:00,23.77,23.87,23.24,23.39,23.77,23.87,23.24,23.39,177200
2000-01-05 00:00:00,23.49,23.49,22.99,23.10,23.49,23.49,22.99,23.10,124600
2000-01-06 00:00:00,23.25,23.54,23.21,23.37,23.25,23.54,23.21,23.37,135800
2000-01-07 00:00:00,23.62,24.47,23.62,24.47,23.62,24.47,23.62,24.47,70000
2000-01-10 00:00:00,24.44,24.49,24.14,24.34,24.44,24.49,24.14,24.34,41900
2000-01-11 00:00:00,24.42,24.52,24.09,24.20,24.42,24.52,24.09,24.20,29600
2000-01-12 00:00:00,24.27,24.27,23.97,24.07,24.27,24.27,23.97,24.07,53100
2000-01-13 00:00:00,24.19,24.27,23.98,24.19,24.19,24.27,23.98,24.19,70600
2000-01-14 00:00:00,24.22,24.28,24.13,24.13,24.22,24.28,24.13,24.13,102600
2000-01-18 00:00:00,24.02,24.12,23.74,23.99,24.02,24.12,23.74,23.99,53800
2000-01-19 00:00:00,23.98,24.23,23.94,23.94,23.98,24.23,23.94,23.94,113800
2000-01-20 00:00:00,24.07,24.07,23.49,23.62,24.07,24.07,23.49,23.62,161400
2000-01-21 00:00:00,23.64,23.64,23.13,23.13,23.64,23.64,23.13,23.13,170200
2000-01-24 00:00:00,23.29,23.32,22.26,22.26,23.29,23.32,22.26,22.26,5100
2000-01-25 00:00:00,22.34,22.46,22.11,22.40,22.34,22.46,22.11,22.40,63000
2000-01-26 00:00:00,22.19,22.58,22.19,22.56,22.19,22.58,22.19,22.56,38100
2000-01-27 00:00:00,22.74,22.74,22.14,22.50,22.74,22.74,22.14,22.50,119100
2000-01-28 00:00:00,22.14,22.23,21.54,21.61,22.14,22.23,21.54,21.61,12400
2000-01-31 00:00:00,21.51,21.78,21.51,21.78,21.51,21.78,21.51,21.78,10800
2000-02-01 00:00:00,21.96,22.56,21.96,22.56,21.96,22.56,21.96,22.56,129900
2000-02-02 00:00:00,22.61,22.64,22.41,22.41,22.61,22.64,22.41,22.41,5300
2000-02-03 00:00:00,22.64,22.64,22.44,22.50,22.64,22.64,22.44,22.50,26200
2000-02-04 00:00:00,22.70,22.70,22.41,22.46,22.70,22.70,22.41,22.46,23100
2000-02-07 00:00:00,22.31,22.31,21.99,21.99,22.31,22.31,21.99,21.99,20800
2000-02-08 00:00:00,22.16,22.63,22.16,22.49,22.16,22.63,22.16,22.49,205700
2000-02-09 00:00:00,22.56,22.56,22.08,22.11,22.56,22.56,22.08,22.11,28600
2000-02-10 00:00:00,22.15,22.15,21.84,21.91,22.15,22.15,21.84,21.91,10100
2000-02-11 00:00:00,22.05,22.05,21.43,21.60,22.05,22.05,21.43,21.60,33000
2000-02-14 00:00:00,21.59,21.86,21.59,21.71,21.59,21.86,21.59,21.71,2800
2000-02-15 00:00:00,21.74,21.76,21.41,21.76,21.74,21.76,21.41,21.76,7900
2000-02-16 00:00:00,21.61,21.61,20.91,20.91,21.61,21.61,20.91,20.91,18000
2000-02-17 00:00:00,21.06,21.06,20.21,20.31,21.06,21.06,20.21,20.31,67000
2000-02-18 00:00:00,20.20,20.28,19.88,20.01,20.20,20.28,19.88,20.01,7500
2000-02-22 00:00:00,20.29,20.31,19.84,20.06,20.29,20.31,19.84,20.06,70700
2000-02-23 00:00:00,20.26,20.26,19.89,20.00,20.26,20.26,19.89,20.00,343000
2000-02-24 00:00:00,19.84,19.84,19.12,19.36,19.84,19.84,19.12,19.36,108900
2000-02-25 00:00:00,19.36,19.74,19.36,19.44,19.36,19.74,19.36,19.44,31300
2000-02-28 00:00:00,19.76,20.19,19.63,20.14,19.76,20.19,19.63,20.14,259700
2000-02-29 00:00:00,20.36,20.69,20.36,20.56,20.36,20.69,20.36,20.56,17600
2000-03-01 00:00:00,20.58,20.58,20.16,20.33,20.58,20.58,20.16,20.33,345700
2000-03-02 00:00:00,20.54,20.56,20.28,20.30,20.54,20.56,20.28,20.30,208600
2000-03-03 00:00:00,20.61,20.81,20.53,20.68,20.61,20.81,20.53,20.68,208000
2000-03-06 00:00:00,20.48,20.51,20.01,20.19,20.48,20.51,20.01,20.19,600200
2000-03-07 00:00:00,20.11,20.11,19.48,19.63,20.11,20.11,19.48,19.63,6300
2000-03-08 00:00:00,19.29,19.94,19.24,19.86,19.29,19.94,19.24,19.86,172200
2000-03-09 00:00:00,19.63,20.29,19.44,20.26,19.63,20.29,19.44,20.26,306400
2000-03-10 00:00:00,20.09,20.25,19.91,19.99,20.09,20.25,19.91,19.99,440300
2000-03-13 00:00:00,19.40,19.96,19.40,19.83,19.40,19.96,19.40,19.83,442900
2000-03-14 00:00:00,19.86,20.04,19.70,19.86,19.86,20.04,19.70,19.86,229300
2000-03-15 00:00:00,19.86,21.21,19.66,21.06,19.86,21.21,19.66,21.06,721800
2000-03-16 00:00:00,21.49,22.66,21.39,22.61,21.49,22.66,21.39,22.61,151400
2000-03-17 00:00:00,22.66,22.86,22.51,22.67,22.66,22.86,22.51,22.67,24300
2000-03-20 00:00:00,22.68,22.68,22.21,22.46,22.68,22.68,22.21,22.46,81100
2000-03-21 00:00:00,22.41,22.76,22.26,22.71,22.41,22.76,22.26,22.71,157200
2000-03-22 00:00:00,22.51,22.71,22.26,22.61,22.51,22.71,22.26,22.61,133300
2000-03-23 00:00:00,22.28,22.77,22.28,22.67,22.28,22.77,22.28,22.67,9000
2000-03-24 00:00:00,22.86,23.13,22.75,22.75,22.86,23.13,22.75,22.75,19600
2000-03-27 00:00:00,22.75,22.91,22.63,22.68,22.75,22.91,22.63,22.68,14000
2000-03-28 00:00:00,22.56,23.01,22.56,22.76,22.56,23.01,22.56,22.76,20800
2000-03-29 00:00:00,22.96,23.29,22.96,23.21,22.96,23.29,22.96,23.21,12300
2000-03-30 00:00:00,23.69,23.97,23.56,23.72,23.69,23.97,23.56,23.72,22500
2000-03-31 00:00:00,23.52,23.82,23.40,23.47,23.52,23.82,23.40,23.47,374600
2000-04-03 00:00:00,23.79,24.30,23.79,24.18,23.79,24.30,23.79,24.18,41000
2000-04-04 00:00:00,24.58,24.66,22.93,23.87,24.58,24.66,22.93,23.87,71000
2000-04-05 00:00:00,23.75,24.01,23.66,23.91,23.75,24.01,23.66,23.91,12000
2000-04-06 00:00:00,23.79,24.33,23.79,24.16,23.79,24.33,23.79,24.16,13600
