period,bid_price_open,bid_price_high,bid_price_low,bid_price_close,ask_price_open,ask_price_high,ask_price_low,ask_price_close,volume
2000-01-03 00:00:00,21.19,21.19,20.62,20.73,21.19,21.19,20.62,20.73,82800
2000-01-04 00:00:00,20.46,20.57,20.08,20.16,20.46,20.57,20.08,20.16,146900
2000-01-05 00:00:00,20.13,20.22,19.93,20.07,20.13,20.22,19.93,20.07,129200
2000-01-06 00:00:00,20.07,20.40,19.99,20.34,20.07,20.40,19.99,20.34,54000
2000-01-07 00:00:00,20.58,21.12,20.58,21.12,20.58,21.12,20.58,21.12,32900
2000-01-10 00:00:00,21.23,21.30,21.05,21.12,21.23,21.30,21.05,21.12,122500
2000-01-11 00:00:00,21.18,21.18,20.85,20.85,21.18,21.18,20.85,20.85,109800
2000-01-12 00:00:00,20.79,20.79,20.60,20.60,20.79,20.79,20.60,20.60,39900
2000-01-13 00:00:00,20.89,21.04,20.73,20.99,20.89,21.04,20.73,20.99,189700
2000-01-14 00:00:00,21.05,21.06,20.77,20.85,21.05,21.06,20.77,20.85,5700
2000-01-18 00:00:00,20.69,20.91,20.68,20.82,20.69,20.91,20.68,20.82,83600
2000-01-19 00:00:00,20.85,20.87,20.76,20.76,20.85,20.87,20.76,20.76,62800
2000-01-20 00:00:00,20.85,20.85,20.40,20.62,20.85,20.85,20.40,20.62,49600
2000-01-21 00:00:00,20.60,20.68,20.36,20.36,20.60,20.68,20.36,20.36,45700
2000-01-24 00:00:00,20.50,20.52,19.77,19.78,20.50,20.52,19.77,19.78,51600
2000-01-25 00:00:00,19.52,19.69,19.27,19.67,19.52,19.69,19.27,19.67,89700
2000-01-26 00:00:00,19.60,19.95,18.88,19.82,19.60,19.95,18.88,19.82,93400
2000-01-27 00:00:00,19.87,20.33,19.87,19.94,19.87,20.33,19.87,19.94,156000
2000-01-28 00:00:00,19.86,19.94,19.41,19.41,19.86,19.94,19.41,19.41,17600
2000-01-31 00:00:00,19.31,19.62,19.31,19.54,19.31,19.62,19.31,19.54,45700
2000-02-01 00:00:00,19.52,19.52,19.34,19.41,19.52,19.52,19.34,19.41,5500
2000-02-02 00:00:00,19.58,19.58,19.32,19.42,19.58,19.58,19.32,19.42,3500
2000-02-03 00:00:00,19.50,19.52,19.23,19.41,19.50,19.52,19.23,19.41,107900
2000-02-04 00:00:00,19.62,19.62,19.45,19.49,19.62,19.62,19.45,19.49,31400
2000-02-07 00:00:00,19.36,19.36,19.05,19.15,19.36,19.36,19.05,19.15,43800
2000-02-08 00:00:00,19.48,19.48,19.20,19.23,19.48,19.48,19.20,19.23,119600
2000-02-09 00:00:00,19.22,19.22,18.96,19.03,19.22,19.22,18.96,19.03,58400
2000-02-10 00:00:00,18.91,18.96,18.69,18.70,18.91,18.96,18.69,18.70,65200
2000-02-11 00:00:00,18.73,18.73,18.21,18.31,18.73,18.73,18.21,18.31,50400
2000-02-14 00:00:00,18.33,18.62,18.30,18.60,18.33,18.62,18.30,18.60,4900
2000-02-15 00:00:00,18.63,19.11,18.56,18.93,18.63,19.11,18.56,18.93,21200
2000-02-16 00:00:00,18.99,19.02,18.80,18.88,18.99,19.02,18.80,18.88,77400
2000-02-17 00:00:00,18.96,19.00,18.79,18.96,18.96,19.00,18.79,18.96,16400
2000-02-18 00:00:00,19.04,19.05,18.48,18.54,19.04,19.05,18.48,18.54,115300
2000-02-22 00:00:00,18.87,18.87,18.54,18.85,18.87,18.87,18.54,18.85,46900
2000-02-23 00:00:00,18.97,18.97,18.70,18.70,18.97,18.97,18.70,18.70,63100
2000-02-24 00:00:00,18.69,18.69,18.27,18.53,18.69,18.69,18.27,18.53,19500
2000-02-25 00:00:00,18.49,18.57,18.18,18.21,18.49,18.57,18.18,18.21,26700
2000-02-28 00:00:00,18.27,18.56,17.97,18.26,18.27,18.56,17.97,18.26,463900
2000-02-29 00:00:00,18.42,18.51,18.39,18.47,18.42,18.51,18.39,18.47,9100
