period,bid_price_open,bid_price_high,bid_price_low,bid_price_close,ask_price_open,ask_price_high,ask_price_low,ask_price_close,volume
2015-10-08 00:00:00,41.43,42.31,41.43,42.18,41.43,42.31,41.43,42.18,13994900
2015-10-09 00:00:00,42.53,42.56,42.01,42.16,42.53,42.56,42.01,42.16, 9076600
2015-10-12 00:00:00,42.25,42.25,41.60,41.80,42.25,42.25,41.60,41.80, 7412800
2015-10-13 00:00:00,41.51,41.94,41.32,41.64,41.51,41.94,41.32,41.64, 8663500
2015-10-14 00:00:00,41.65,42.19,41.56,41.97,41.65,42.19,41.56,41.97, 6693000
2015-10-15 00:00:00,42.01,42.30,41.54,42.09,42.01,42.30,41.54,42.09, 4576500
2015-10-16 00:00:00,42.29,42.39,41.81,42.11,42.29,42.39,41.81,42.11, 7240500
2015-10-19 00:00:00,41.82,41.98,41.60,41.81,41.82,41.98,41.60,41.81, 3905000
2015-10-20 00:00:00,41.76,42.24,41.69,41.88,41.76,42.24,41.69,41.88, 3809200
2015-10-21 00:00:00,41.88,42.01,41.43,41.51,41.88,42.01,41.43,41.51, 5516500
2015-10-22 00:00:00,42.00,42.68,41.90,42.64,42.00,42.68,41.90,42.64, 7259000
2015-10-23 00:00:00,43.04,43.17,42.77,43.00,43.04,43.17,42.77,43.00, 6506500
2015-10-26 00:00:00,42.93,43.05,42.63,42.64,42.93,43.05,42.63,42.64, 3994600
2015-10-27 00:00:00,42.39,42.66,42.11,42.46,42.39,42.66,42.11,42.46, 6166700
2015-10-28 00:00:00,42.39,43.19,42.39,43.10,42.39,43.19,42.39,43.10, 7645500
2015-10-29 00:00:00,42.89,43.28,42.86,43.19,42.89,43.28,42.86,43.19, 5367900
2015-10-30 00:00:00,43.17,43.61,43.12,43.24,43.17,43.61,43.12,43.24, 6425100
2015-11-02 00:00:00,43.31,43.72,43.21,43.51,43.31,43.72,43.21,43.51,11350700
2015-11-03 00:00:00,43.40,44.02,43.37,43.68,43.40,44.02,43.37,43.68, 7603900
2015-11-04 00:00:00,43.61,43.91,43.38,43.42,43.61,43.91,43.38,43.42, 6841200
2015-11-05 00:00:00,43.34,43.34,42.83,43.18,43.34,43.34,42.83,43.18,10285000
2015-11-06 00:00:00,42.82,43.36,42.76,43.29,42.82,43.36,42.76,43.29, 4601400
2015-11-09 00:00:00,43.09,43.28,42.61,43.00,43.09,43.28,42.61,43.00, 5382100
2015-11-10 00:00:00,42.84,42.98,42.42,42.68,42.84,42.98,42.42,42.68, 4904600
2015-11-11 00:00:00,42.78,42.86,42.47,42.73,42.78,42.86,42.47,42.73, 6279400
2015-11-12 00:00:00,42.29,42.35,41.87,41.87,42.29,42.35,41.87,41.87, 9022200
2015-11-13 00:00:00,41.84,42.62,41.77,42.40,41.84,42.62,41.77,42.40, 7082400
2015-11-16 00:00:00,42.49,42.98,42.34,42.95,42.49,42.98,42.34,42.95, 7731500
2015-11-17 00:00:00,43.02,43.33,42.79,42.90,43.02,43.33,42.79,42.90,12751100
2015-11-18 00:00:00,43.05,43.70,42.94,43.66,43.05,43.70,42.94,43.66, 7880300
2015-11-19 00:00:00,43.56,43.86,43.54,43.62,43.56,43.86,43.54,43.62, 5293100
2015-11-20 00:00:00,43.72,43.92,43.38,43.48,43.72,43.92,43.38,43.48, 3729700
2015-11-23 00:00:00,43.55,43.87,43.47,43.54,43.55,43.87,43.47,43.54, 3828100
2015-11-24 00:00:00,43.20,44.02,43.20,43.90,43.20,44.02,43.20,43.90, 6253400
2015-11-25 00:00:00,43.90,43.98,43.57,43.63,43.90,43.98,43.57,43.63, 4158600
2015-11-27 00:00:00,43.57,43.65,43.37,43.57,43.57,43.65,43.37,43.57, 1270800
2015-11-30 00:00:00,43.68,43.87,43.52,43.67,43.68,43.87,43.52,43.67, 6561300
2015-12-01 00:00:00,43.70,43.99,43.55,43.98,43.70,43.99,43.55,43.98, 7716700
2015-12-02 00:00:00,43.85,43.95,43.24,43.39,43.85,43.95,43.24,43.39, 8005900
2015-12-03 00:00:00,43.60,43.67,42.79,43.00,43.60,43.67,42.79,43.00, 5828800
2015-12-04 00:00:00,43.10,43.87,42.97,43.76,43.10,43.87,42.97,43.76, 5607200
2015-12-07 00:00:00,43.52,43.73,42.70,42.98,43.52,43.73,42.70,42.98, 6163100
2015-12-08 00:00:00,42.53,42.89,42.11,42.16,42.53,42.89,42.11,42.16, 7426200
2015-12-09 00:00:00,43.25,43.99,42.99,43.43,43.25,43.99,42.99,43.43,12961400
2015-12-10 00:00:00,43.17,43.52,42.82,43.11,43.17,43.52,42.82,43.11, 5285800
2015-12-11 00:00:00,41.99,42.47,41.91,41.96,41.99,42.47,41.91,41.96, 9544200
2015-12-14 00:00:00,41.74,41.89,41.04,41.41,41.74,41.89,41.04,41.41, 8862700
2015-12-15 00:00:00,41.83,42.08,41.55,41.64,41.83,42.08,41.55,41.64, 5046600
2015-12-16 00:00:00,41.86,42.11,41.29,42.07,41.86,42.11,41.29,42.07, 8066400
2015-12-17 00:00:00,42.14,42.14,41.23,41.23,42.14,42.14,41.23,41.23, 9196500
2015-12-18 00:00:00,41.15,41.43,40.68,40.68,41.15,41.43,40.68,40.68,14249200
2015-12-21 00:00:00,40.96,41.16,40.70,41.04,40.96,41.16,40.70,41.04, 5887100
2015-12-22 00:00:00,41.26,41.76,41.12,41.56,41.26,41.76,41.12,41.56, 5268100
2015-12-23 00:00:00,41.86,42.61,41.86,42.54,41.86,42.61,41.86,42.54, 5819600
2015-12-24 00:00:00,42.45,42.62,42.36,42.45,42.45,42.62,42.36,42.45, 3717000
2015-12-28 00:00:00,42.27,42.27,41.90,42.15,42.27,42.27,41.90,42.15, 4143400
2015-12-29 00:00:00,42.39,42.70,42.37,42.54,42.39,42.70,42.37,42.54, 3885400
2015-12-30 00:00:00,42.41,42.54,42.09,42.15,42.41,42.54,42.09,42.15, 3339100
2015-12-31 00:00:00,42.05,42.28,41.78,41.78,42.05,42.28,41.78,41.78, 4679500
2016-01-04 00:00:00,41.11,41.25,40.67,41.13,41.11,41.25,40.67,41.13,14430200
2016-01-05 00:00:00,41.30,41.30,40.80,41.11,41.30,41.30,40.80,41.11, 9499000
2016-01-06 00:00:00,40.55,40.59,39.81,40.03,40.55,40.59,39.81,40.03, 9307400
2016-01-07 00:00:00,39.30,39.70,38.73,38.95,39.30,39.70,38.73,38.95,12579700
2016-01-08 00:00:00,39.32,39.36,38.45,38.55,39.32,39.36,38.45,38.55, 8700200
2016-01-11 00:00:00,38.75,38.76,37.60,37.90,38.75,38.76,37.60,37.90,10047300
2016-01-12 00:00:00,38.45,38.45,37.48,37.95,38.45,38.45,37.48,37.95, 7270300
2016-01-13 00:00:00,38.23,38.31,37.03,37.08,38.23,38.31,37.03,37.08,10809600
2016-01-14 00:00:00,37.22,37.86,36.77,37.58,37.22,37.86,36.77,37.58,10372200
2016-01-15 00:00:00,36.81,37.06,36.33,36.81,36.81,37.06,36.33,36.81, 9358900
2016-01-19 00:00:00,37.15,37.27,35.89,36.36,37.15,37.27,35.89,36.36, 9865600
2016-01-20 00:00:00,35.55,36.40,34.92,36.09,35.55,36.40,34.92,36.09,12825400
2016-01-21 00:00:00,36.26,36.67,35.77,36.41,36.26,36.67,35.77,36.41,11700700
2016-01-22 00:00:00,37.09,37.61,36.71,37.06,37.09,37.61,36.71,37.06, 9537600
2016-01-25 00:00:00,36.70,36.78,35.82,35.88,36.70,36.78,35.82,35.88,11141700
2016-01-26 00:00:00,36.26,36.59,35.88,36.49,36.26,36.59,35.88,36.49, 7587700
2016-01-27 00:00:00,36.42,37.05,36.11,36.20,36.42,37.05,36.11,36.20, 7814300
2016-01-28 00:00:00,36.53,36.59,35.93,36.26,36.53,36.59,35.93,36.26, 6655500
2016-01-29 00:00:00,36.56,37.34,36.28,37.31,36.56,37.34,36.28,37.31, 8001000
2016-02-01 00:00:00,37.10,37.56,36.65,37.46,37.10,37.56,36.65,37.46,13595400
2016-02-02 00:00:00,37.32,37.41,36.78,37.21,37.32,37.41,36.78,37.21,11509400
2016-02-03 00:00:00,37.66,38.46,37.17,38.46,37.66,38.46,37.17,38.46,14414200
2016-02-04 00:00:00,38.62,39.79,38.59,39.53,38.62,39.79,38.59,39.53,14590200
2016-02-05 00:00:00,39.23,39.64,38.95,39.08,39.23,39.64,38.95,39.08,11431900
2016-02-08 00:00:00,38.49,38.80,37.50,38.05,38.49,38.80,37.50,38.05,11603700
2016-02-09 00:00:00,37.68,38.71,37.68,38.52,37.68,38.71,37.68,38.52,10233300
2016-02-10 00:00:00,38.69,39.08,38.06,38.16,38.69,39.08,38.06,38.16,11372200
2016-02-11 00:00:00,37.38,37.87,37.02,37.33,37.38,37.87,37.02,37.33,13535000
2016-02-12 00:00:00,37.86,38.44,37.43,38.44,37.86,38.44,37.43,38.44, 8596000
2016-02-16 00:00:00,38.82,39.07,38.33,39.02,38.82,39.07,38.33,39.02, 6786800
2016-02-17 00:00:00,39.34,40.01,39.33,39.79,39.34,40.01,39.33,39.79, 7494200
2016-02-18 00:00:00,39.85,39.85,39.39,39.68,39.85,39.85,39.39,39.68, 5410200
2016-02-19 00:00:00,39.47,39.49,39.05,39.22,39.47,39.49,39.05,39.22, 5930400
