period,bid_price_open,bid_price_high,bid_price_low,bid_price_close,ask_price_open,ask_price_high,ask_price_low,ask_price_close,volume
2015-10-08 00:00:00,63.55,65.15,63.16,64.89,63.55,65.15,63.16,64.89,27071700
2015-10-09 00:00:00,65.03,65.11,64.07,64.47,65.03,65.11,64.07,64.47,25985700
2015-10-12 00:00:00,64.57,64.58,63.06,63.64,64.57,64.58,63.06,63.64,21746200
2015-10-13 00:00:00,63.15,63.92,62.80,62.97,63.15,63.92,62.80,62.97,20837800
2015-10-14 00:00:00,62.83,63.75,62.69,63.52,62.83,63.75,62.69,63.52,15176700
2015-10-15 00:00:00,63.23,64.68,63.01,64.66,63.23,64.68,63.01,64.66,19508200
2015-10-16 00:00:00,64.88,65.05,63.85,64.74,64.88,65.05,63.85,64.74,20031200
2015-10-19 00:00:00,64.10,64.13,63.12,63.46,64.10,64.13,63.12,63.46,19500200
2015-10-20 00:00:00,63.33,63.94,62.99,63.64,63.33,63.94,62.99,63.64,13756500
2015-10-21 00:00:00,63.36,63.67,62.79,62.85,63.36,63.67,62.79,62.85,14662100
2015-10-22 00:00:00,63.20,64.13,63.17,63.98,63.20,64.13,63.17,63.98,18740700
2015-10-23 00:00:00,63.68,64.43,63.27,63.83,63.68,64.43,63.27,63.83,15631000
2015-10-26 00:00:00,63.71,63.71,62.25,62.27,63.71,63.71,62.25,62.27,11836100
2015-10-27 00:00:00,61.41,61.73,60.89,61.52,61.41,61.73,60.89,61.52,21107300
2015-10-28 00:00:00,61.95,63.31,61.46,62.89,61.95,63.31,61.46,62.89,19756500
2015-10-29 00:00:00,62.66,63.80,62.56,63.21,62.66,63.80,62.56,63.21, 9732300
2015-10-30 00:00:00,63.54,64.30,62.80,63.62,63.54,64.30,62.80,63.62,14257200
2015-11-02 00:00:00,63.23,65.44,63.14,65.11,63.23,65.44,63.14,65.11,15386900
2015-11-03 00:00:00,65.56,67.27,65.54,66.77,65.56,67.27,65.54,66.77,21327200
2015-11-04 00:00:00,66.84,67.02,65.68,66.17,66.84,67.02,65.68,66.17,17679500
2015-11-05 00:00:00,65.84,66.57,65.31,65.61,65.84,66.57,65.31,65.61,16233500
2015-11-06 00:00:00,65.03,65.54,64.31,65.27,65.03,65.54,64.31,65.27,13761200
2015-11-09 00:00:00,65.12,65.84,64.36,64.63,65.12,65.84,64.36,64.63,12687000
2015-11-10 00:00:00,64.36,65.34,64.11,64.77,64.36,65.34,64.11,64.77,12685400
