period,bid_price_open,bid_price_high,bid_price_low,bid_price_close,ask_price_open,ask_price_high,ask_price_low,ask_price_close,volume
2015-10-08 00:00:00,13.89,14.04,13.86,14.03,13.89,14.04,13.86,14.03,  37237000
2015-10-09 00:00:00,14.06,14.07,13.88,13.94,14.06,14.07,13.88,13.94,  58339100
2015-10-12 00:00:00,13.93,13.97,13.90,13.95,13.93,13.97,13.90,13.95,  25312100
2015-10-13 00:00:00,13.90,13.99,13.84,13.84,13.90,13.99,13.84,13.84,  42452000
2015-10-14 00:00:00,13.85,13.87,13.71,13.73,13.85,13.87,13.71,13.73,  44763800
2015-10-15 00:00:00,13.81,14.06,13.79,14.04,13.81,14.06,13.79,14.04,  55652500
2015-10-16 00:00:00,14.08,14.15,14.05,14.12,14.08,14.15,14.05,14.12,  36542200
2015-10-19 00:00:00,14.03,14.14,14.03,14.11,14.03,14.14,14.03,14.11,  32690300
2015-10-20 00:00:00,14.11,14.21,14.10,14.20,14.11,14.21,14.10,14.20,  23941400
2015-10-21 00:00:00,14.21,14.26,14.07,14.09,14.21,14.26,14.07,14.09,  29215100
2015-10-22 00:00:00,14.12,14.38,14.12,14.32,14.12,14.38,14.12,14.32,  61204300
2015-10-23 00:00:00,14.44,14.48,14.37,14.48,14.44,14.48,14.37,14.48,  45903400
2015-10-26 00:00:00,14.48,14.48,14.36,14.42,14.48,14.48,14.36,14.42,  24485600
2015-10-27 00:00:00,14.35,14.36,14.29,14.33,14.35,14.36,14.29,14.33,  28664200
2015-10-28 00:00:00,14.36,14.69,14.36,14.67,14.36,14.69,14.36,14.67, 112058200
2015-10-29 00:00:00,14.66,14.72,14.58,14.65,14.66,14.72,14.58,14.65,  48479600
2015-10-30 00:00:00,14.62,14.63,14.42,14.44,14.62,14.63,14.42,14.44,  62867600
2015-11-02 00:00:00,14.48,14.70,14.47,14.64,14.48,14.70,14.47,14.64,  73531400
2015-11-03 00:00:00,14.63,14.71,14.57,14.66,14.63,14.71,14.57,14.66,  42479200
2015-11-04 00:00:00,14.66,14.70,14.58,14.62,14.66,14.70,14.58,14.62,  40100500
2015-11-05 00:00:00,14.62,14.71,14.60,14.68,14.62,14.71,14.60,14.68,  45236700
2015-11-06 00:00:00,14.96,14.98,14.78,14.83,14.96,14.98,14.78,14.83,  85556100
2015-11-09 00:00:00,14.85,14.89,14.59,14.67,14.85,14.89,14.59,14.67,  59169300
2015-11-10 00:00:00,14.63,14.74,14.61,14.74,14.63,14.74,14.61,14.74,  41119300
2015-11-11 00:00:00,14.80,14.80,14.68,14.69,14.80,14.80,14.68,14.69,  27576300
2015-11-12 00:00:00,14.65,14.66,14.46,14.47,14.65,14.66,14.46,14.47,  66597400
2015-11-13 00:00:00,14.39,14.50,14.30,14.35,14.39,14.50,14.30,14.35,  53877700
2015-11-16 00:00:00,14.30,14.52,14.27,14.52,14.30,14.52,14.27,14.52,  53560500
2015-11-17 00:00:00,14.58,14.62,14.46,14.49,14.58,14.62,14.46,14.49,  46013100
2015-11-18 00:00:00,14.57,14.77,14.53,14.75,14.57,14.77,14.53,14.75,  83572800
2015-11-19 00:00:00,14.75,14.80,14.70,14.77,14.75,14.80,14.70,14.77,  35613000
2015-11-20 00:00:00,14.81,14.86,14.75,14.80,14.81,14.86,14.75,14.80,  44189300
2015-11-23 00:00:00,14.79,14.84,14.72,14.74,14.79,14.84,14.72,14.74,  31828800
2015-11-24 00:00:00,14.65,14.74,14.57,14.69,14.65,14.74,14.57,14.69,  35916800
2015-11-25 00:00:00,14.70,14.74,14.66,14.71,14.70,14.74,14.66,14.71,  24226000
2015-11-27 00:00:00,14.73,14.76,14.66,14.74,14.73,14.76,14.66,14.74,  23191000
2015-11-30 00:00:00,14.79,14.79,14.71,14.73,14.79,14.79,14.71,14.73,  30361100
2015-12-01 00:00:00,14.78,14.90,14.75,14.89,14.78,14.90,14.75,14.89,  38268300
2015-12-02 00:00:00,14.93,14.93,14.69,14.72,14.93,14.93,14.69,14.72,  43846600
2015-12-03 00:00:00,14.80,14.80,14.43,14.48,14.80,14.80,14.43,14.48,  59308500
2015-12-04 00:00:00,14.57,14.89,14.53,14.86,14.57,14.89,14.53,14.86,  52547400
2015-12-07 00:00:00,14.84,14.86,14.65,14.72,14.84,14.86,14.65,14.72,  31381100
2015-12-08 00:00:00,14.56,14.67,14.50,14.54,14.56,14.67,14.50,14.54,  35697700
2015-12-09 00:00:00,14.47,14.63,14.29,14.37,14.47,14.63,14.29,14.37,  66624700
2015-12-10 00:00:00,14.36,14.52,14.32,14.38,14.36,14.52,14.32,14.38,  58158200
2015-12-11 00:00:00,14.17,14.26,13.99,14.06,14.17,14.26,13.99,14.06,  89542000
2015-12-14 00:00:00,14.08,14.19,13.94,14.09,14.08,14.19,13.94,14.09,  71948800
2015-12-15 00:00:00,14.24,14.50,14.23,14.42,14.24,14.50,14.23,14.42,  93332900
2015-12-16 00:00:00,14.56,14.71,14.42,14.66,14.56,14.71,14.42,14.66, 102205300
2015-12-17 00:00:00,14.71,14.71,14.43,14.45,14.71,14.71,14.43,14.45,  70913300
2015-12-18 00:00:00,14.35,14.37,14.06,14.06,14.35,14.37,14.06,14.06, 113598700
2015-12-21 00:00:00,14.18,14.25,14.08,14.20,14.18,14.25,14.08,14.20,  50728100
2015-12-22 00:00:00,14.29,14.37,14.16,14.34,14.29,14.37,14.16,14.34,  57087700
2015-12-23 00:00:00,14.43,14.53,14.38,14.51,14.43,14.53,14.38,14.51,  40627900
2015-12-24 00:00:00,14.52,14.57,14.46,14.49,14.52,14.57,14.46,14.49,  13844600
2015-12-28 00:00:00,14.43,14.49,14.36,14.48,14.43,14.49,14.36,14.48,  16747000
2015-12-29 00:00:00,14.60,14.65,14.55,14.63,14.60,14.65,14.55,14.63,  38040200
2015-12-30 00:00:00,14.60,14.63,14.51,14.53,14.60,14.63,14.51,14.53,  19339100
2015-12-31 00:00:00,14.38,14.55,14.35,14.38,14.38,14.55,14.35,14.38,  58704700
2016-01-04 00:00:00,14.09,14.12,13.94,14.11,14.09,14.12,13.94,14.11,  93387400
2016-01-05 00:00:00,14.13,14.20,14.03,14.16,14.13,14.20,14.03,14.16,  52096500
2016-01-06 00:00:00,13.96,14.03,13.87,13.94,13.96,14.03,13.87,13.94,  77248500
2016-01-07 00:00:00,13.65,13.78,13.50,13.55,13.65,13.78,13.50,13.55,  92006900
2016-01-08 00:00:00,13.67,13.68,13.31,13.34,13.67,13.68,13.31,13.34,  83028200
2016-01-11 00:00:00,13.41,13.44,13.23,13.36,13.41,13.44,13.23,13.36,  70986500
2016-01-12 00:00:00,13.50,13.52,13.29,13.46,13.50,13.52,13.29,13.46,  80633500
2016-01-13 00:00:00,13.52,13.58,13.05,13.11,13.52,13.58,13.05,13.11, 125524900
2016-01-14 00:00:00,13.14,13.33,13.01,13.23,13.14,13.33,13.01,13.23,  95264000
2016-01-15 00:00:00,12.78,12.99,12.76,12.93,12.78,12.99,12.76,12.93,  93733100
2016-01-19 00:00:00,13.07,13.12,12.83,12.92,13.07,13.12,12.83,12.92,  83779300
2016-01-20 00:00:00,12.66,12.79,12.39,12.67,12.66,12.79,12.39,12.67, 107682200
2016-01-21 00:00:00,12.68,12.85,12.57,12.62,12.68,12.85,12.57,12.62,  91494800
2016-01-22 00:00:00,12.78,12.90,12.76,12.85,12.78,12.90,12.76,12.85,  59334200
2016-01-25 00:00:00,12.79,12.84,12.56,12.59,12.79,12.84,12.56,12.59,  78982100
2016-01-26 00:00:00,12.63,12.83,12.62,12.80,12.63,12.83,12.62,12.80,  63973700
2016-01-27 00:00:00,12.76,12.97,12.66,12.75,12.76,12.97,12.66,12.75,  77206300
2016-01-28 00:00:00,12.83,12.89,12.67,12.76,12.83,12.89,12.67,12.76,  79906600
2016-01-29 00:00:00,12.85,13.12,12.80,13.11,12.85,13.12,12.80,13.11, 100518900
2016-02-01 00:00:00,13.05,13.12,12.96,13.06,13.05,13.12,12.96,13.06,  84561500
2016-02-02 00:00:00,12.87,12.89,12.66,12.69,12.87,12.89,12.66,12.69,  86157400
2016-02-03 00:00:00,12.77,12.77,12.34,12.71,12.77,12.77,12.34,12.71, 151930200
2016-02-04 00:00:00,12.63,12.91,12.63,12.82,12.63,12.91,12.63,12.82,  97011000
2016-02-05 00:00:00,12.83,12.89,12.61,12.65,12.83,12.89,12.61,12.65,  81506700
2016-02-08 00:00:00,12.47,12.51,12.16,12.33,12.47,12.51,12.16,12.33, 132312800
2016-02-09 00:00:00,12.08,12.39,12.08,12.31,12.08,12.39,12.08,12.31, 168924200
2016-02-10 00:00:00,12.40,12.54,12.24,12.24,12.40,12.54,12.24,12.24,  80836900
2016-02-11 00:00:00,11.92,12.00,11.79,11.87,11.92,12.00,11.79,11.87, 155436800
2016-02-12 00:00:00,12.15,12.37,12.10,12.37,12.15,12.37,12.10,12.37, 119640600
2016-02-16 00:00:00,12.58,12.62,12.45,12.57,12.58,12.62,12.45,12.57,  97496100
2016-02-17 00:00:00,12.69,12.80,12.69,12.74,12.69,12.80,12.69,12.74,  79846300
2016-02-18 00:00:00,12.79,12.79,12.60,12.66,12.79,12.79,12.60,12.66,  79491900
2016-02-19 00:00:00,12.56,12.72,12.54,12.66,12.56,12.72,12.54,12.66,  91481800
2016-02-22 00:00:00,12.82,12.92,12.82,12.86,12.82,12.92,12.82,12.86,  52408200
2016-02-23 00:00:00,12.80,12.82,12.61,12.63,12.80,12.82,12.61,12.63,  71553300
2016-02-24 00:00:00,12.45,12.64,12.34,12.60,12.45,12.64,12.34,12.60,  89023000
2016-02-25 00:00:00,12.60,12.79,12.60,12.78,12.60,12.79,12.60,12.78,  87713700
2016-02-26 00:00:00,12.86,12.98,12.80,12.87,12.86,12.98,12.80,12.87, 100096300
2016-02-29 00:00:00,12.86,12.92,12.72,12.73,12.86,12.92,12.72,12.73,  70846000
2016-03-01 00:00:00,12.82,13.18,12.82,13.16,12.82,13.18,12.82,13.16, 100224900
2016-03-02 00:00:00,13.17,13.31,13.15,13.30,13.17,13.31,13.15,13.30,  89863600
2016-03-03 00:00:00,13.29,13.40,13.24,13.39,13.29,13.40,13.24,13.39,  76643600
2016-03-04 00:00:00,13.46,13.52,13.35,13.45,13.46,13.52,13.35,13.45,  70707200
2016-03-07 00:00:00,13.36,13.46,13.32,13.44,13.36,13.46,13.32,13.44,  48251200
2016-03-08 00:00:00,13.32,13.38,13.21,13.23,13.32,13.38,13.21,13.23,  94684500
2016-03-09 00:00:00,13.27,13.31,13.20,13.24,13.27,13.31,13.20,13.24,  59913500
2016-03-10 00:00:00,13.33,13.39,13.07,13.23,13.33,13.39,13.07,13.23,  94740200
2016-03-11 00:00:00,13.36,13.59,13.36,13.58,13.36,13.59,13.36,13.58,  79284200
2016-03-14 00:00:00,13.53,13.57,13.45,13.53,13.53,13.57,13.45,13.53,  55347800
2016-03-15 00:00:00,13.44,13.53,13.39,13.53,13.44,13.53,13.39,13.53,  75699100
2016-03-16 00:00:00,13.46,13.58,13.39,13.50,13.46,13.58,13.39,13.50,  72379900
2016-03-17 00:00:00,13.50,13.70,13.40,13.66,13.50,13.70,13.40,13.66,  65859400
2016-03-18 00:00:00,13.75,13.84,13.71,13.78,13.75,13.84,13.71,13.78,  65031200
2016-03-21 00:00:00,13.74,13.85,13.70,13.76,13.74,13.85,13.70,13.76,  47484300
2016-03-22 00:00:00,13.66,13.77,13.63,13.71,13.66,13.77,13.63,13.71,  43482300
2016-03-23 00:00:00,13.69,13.71,13.61,13.61,13.69,13.71,13.61,13.61,  55912200
2016-03-24 00:00:00,13.49,13.53,13.40,13.53,13.49,13.53,13.40,13.53,  48500700
2016-03-28 00:00:00,13.55,13.61,13.50,13.57,13.55,13.61,13.50,13.57,  36121300
2016-03-29 00:00:00,13.51,13.60,13.44,13.59,13.51,13.60,13.44,13.59,  44438100
2016-03-30 00:00:00,13.67,13.78,13.65,13.67,13.67,13.78,13.65,13.67,  37636100
2016-03-31 00:00:00,13.64,13.73,13.61,13.64,13.64,13.73,13.61,13.64,  39946000
