period,bid_price_open,bid_price_high,bid_price_low,bid_price_close,ask_price_open,ask_price_high,ask_price_low,ask_price_close,volume
2015-10-08 00:00:00,49.77,50.87,49.75,50.72,49.77,50.87,49.75,50.72,21823100
2015-10-09 00:00:00,51.26,51.26,50.73,50.89,51.26,51.26,50.73,50.89,33291000
2015-10-12 00:00:00,50.85,50.95,50.64,50.90,50.85,50.95,50.64,50.90, 9030800
2015-10-13 00:00:00,50.53,50.83,50.34,50.36,50.53,50.83,50.34,50.36,10302500
2015-10-14 00:00:00,50.20,50.45,49.74,49.82,50.20,50.45,49.74,49.82,11827900
2015-10-15 00:00:00,50.18,50.39,49.77,50.36,50.18,50.39,49.77,50.36,13924800
2015-10-16 00:00:00,50.53,50.53,49.88,50.10,50.53,50.53,49.88,50.10,13954700
2015-10-19 00:00:00,49.91,50.23,49.83,50.17,49.91,50.23,49.83,50.17, 8112300
2015-10-20 00:00:00,50.00,50.66,49.90,50.50,50.00,50.66,49.90,50.50,11314700
2015-10-21 00:00:00,50.56,51.08,50.44,50.51,50.56,51.08,50.44,50.51,16097800
2015-10-22 00:00:00,50.71,52.12,50.64,51.92,50.71,52.12,50.64,51.92,20908800
2015-10-23 00:00:00,52.23,52.30,51.78,52.11,52.23,52.30,51.78,52.11,13400900
2015-10-26 00:00:00,52.00,52.27,51.88,52.00,52.00,52.27,51.88,52.00,11294900
2015-10-27 00:00:00,51.57,51.67,51.32,51.43,51.57,51.67,51.32,51.43,14483600
2015-10-28 00:00:00,51.62,51.87,51.21,51.84,51.62,51.87,51.21,51.84,13933200
2015-10-29 00:00:00,51.53,51.88,51.51,51.81,51.53,51.88,51.51,51.81,13324100
2015-10-30 00:00:00,51.83,52.02,51.72,51.74,51.83,52.02,51.72,51.74,14763600
2015-11-02 00:00:00,51.75,52.45,51.75,52.34,51.75,52.45,51.75,52.34,15329000
2015-11-03 00:00:00,52.29,52.52,52.18,52.38,52.29,52.52,52.18,52.38, 7486400
2015-11-04 00:00:00,52.35,52.53,52.13,52.24,52.35,52.53,52.13,52.24, 9465100
2015-11-05 00:00:00,52.22,52.44,51.93,52.30,52.22,52.44,51.93,52.30,11531100
2015-11-06 00:00:00,52.00,52.31,51.76,52.30,52.00,52.31,51.76,52.30,15269300
2015-11-09 00:00:00,52.05,52.14,51.41,51.90,52.05,52.14,51.41,51.90,13570600
