period,bid_price_open,bid_price_high,bid_price_low,bid_price_close,ask_price_open,ask_price_high,ask_price_low,ask_price_close,volume
2015-10-08 00:00:00,39.39,39.80,39.20,39.73,39.39,39.80,39.20,39.73,15374800
2015-10-09 00:00:00,39.84,39.93,39.68,39.90,39.84,39.93,39.68,39.90,11376500
2015-10-12 00:00:00,39.98,40.01,39.77,39.95,39.98,40.01,39.77,39.95, 6343700
2015-10-13 00:00:00,39.73,40.10,39.73,39.86,39.73,40.10,39.73,39.86, 8951800
2015-10-14 00:00:00,39.74,40.02,39.68,39.78,39.74,40.02,39.68,39.78,12756100
2015-10-15 00:00:00,39.95,40.31,39.93,40.29,39.95,40.31,39.93,40.29, 8421900
2015-10-16 00:00:00,40.40,40.40,40.13,40.37,40.40,40.40,40.13,40.37, 7486300
2015-10-19 00:00:00,40.28,40.52,40.17,40.52,40.28,40.52,40.17,40.52, 7092100
2015-10-20 00:00:00,40.36,40.53,40.25,40.42,40.36,40.53,40.25,40.42, 5928900
2015-10-21 00:00:00,40.50,40.61,40.06,40.11,40.50,40.61,40.06,40.11, 9417200
2015-10-22 00:00:00,40.40,41.10,40.40,41.01,40.40,41.10,40.40,41.01,14236000
2015-10-23 00:00:00,42.03,42.32,41.90,42.16,42.03,42.32,41.90,42.16,16691700
2015-10-26 00:00:00,42.12,42.12,41.84,42.00,42.12,42.12,41.84,42.00, 8288100
2015-10-27 00:00:00,41.90,42.01,41.71,41.75,41.90,42.01,41.71,41.75, 7679000
2015-10-28 00:00:00,41.95,42.38,41.82,42.38,41.95,42.38,41.82,42.38,14779600
2015-10-29 00:00:00,42.13,42.32,42.00,42.26,42.13,42.32,42.00,42.26, 7609000
2015-10-30 00:00:00,42.33,42.34,41.98,41.99,42.33,42.34,41.98,41.99, 9339500
2015-11-02 00:00:00,42.06,42.38,41.96,42.36,42.06,42.38,41.96,42.36,13743300
2015-11-03 00:00:00,42.23,42.74,42.15,42.58,42.23,42.74,42.15,42.58, 6879000
2015-11-04 00:00:00,42.68,42.75,42.52,42.63,42.68,42.75,42.52,42.63, 7298600
2015-11-05 00:00:00,42.67,42.88,42.42,42.51,42.67,42.88,42.42,42.51, 6728800
