period,bid_price_open,bid_price_high,bid_price_low,bid_price_close,ask_price_open,ask_price_high,ask_price_low,ask_price_close,volume
2015-10-08 00:00:00,45.90,46.53,45.82,46.51,45.90,46.53,45.82,46.51,12447100
2015-10-09 00:00:00,46.60,46.76,46.47,46.62,46.60,46.76,46.47,46.62,12459500
2015-10-12 00:00:00,46.64,46.84,46.59,46.74,46.64,46.84,46.59,46.74, 5652600
2015-10-13 00:00:00,46.65,46.72,46.39,46.46,46.65,46.72,46.39,46.46,10162600
2015-10-14 00:00:00,46.37,46.56,45.82,45.92,46.37,46.56,45.82,45.92,10771200
2015-10-15 00:00:00,46.20,46.36,46.01,46.33,46.20,46.36,46.01,46.33, 5255600
2015-10-16 00:00:00,46.37,46.82,46.36,46.78,46.37,46.82,46.36,46.78, 6898500
2015-10-19 00:00:00,46.78,46.99,46.64,46.98,46.78,46.99,46.64,46.98, 6284300
2015-10-20 00:00:00,46.98,47.04,46.88,46.96,46.98,47.04,46.88,46.96, 6078400
2015-10-21 00:00:00,46.87,47.29,46.87,46.97,46.87,47.29,46.87,46.97,14418900
2015-10-22 00:00:00,47.15,47.96,47.08,47.90,47.15,47.96,47.08,47.90,13590300
2015-10-23 00:00:00,48.07,48.19,47.56,47.82,48.07,48.19,47.56,47.82,13360200
2015-10-26 00:00:00,47.82,47.92,47.65,47.73,47.82,47.92,47.65,47.73, 8893000
2015-10-27 00:00:00,47.58,47.80,47.43,47.80,47.58,47.80,47.43,47.80, 5126200
2015-10-28 00:00:00,47.80,47.81,47.01,47.52,47.80,47.81,47.01,47.52,10430900
2015-10-29 00:00:00,47.50,47.64,47.28,47.54,47.50,47.64,47.28,47.54, 5605300
2015-10-30 00:00:00,47.39,47.39,47.00,47.01,47.39,47.39,47.00,47.01, 8577100
2015-11-02 00:00:00,47.04,47.31,46.98,47.30,47.04,47.31,46.98,47.30,13054000
2015-11-03 00:00:00,47.02,47.19,46.74,47.07,47.02,47.19,46.74,47.07,12452900
2015-11-04 00:00:00,47.13,47.21,46.69,46.87,47.13,47.21,46.69,46.87, 8059100
2015-11-05 00:00:00,46.82,46.94,46.60,46.86,46.82,46.94,46.60,46.86, 9691800
2015-11-06 00:00:00,46.65,46.73,46.01,46.35,46.65,46.73,46.01,46.35,13747200
