period,bid_price_open,bid_price_high,bid_price_low,bid_price_close,ask_price_open,ask_price_high,ask_price_low,ask_price_close,volume
2015-10-08 00:00:00,27.54,27.73,27.54,27.73,27.54,27.73,27.54,27.73,    2000
2015-10-09 00:00:00,27.72,27.72,27.59,27.68,27.72,27.72,27.59,27.68,    4300
2015-10-12 00:00:00,27.92,27.92,27.78,27.85,27.92,27.92,27.78,27.85,    2200
2015-10-13 00:00:00,27.68,27.68,27.68,27.68,27.68,27.68,27.68,27.68,     500
2015-10-14 00:00:00,27.68,27.68,27.68,27.68,27.68,27.68,27.68,27.68,       0
2015-10-15 00:00:00,27.56,27.60,27.56,27.60,27.56,27.60,27.56,27.60,    2500
2015-10-16 00:00:00,28.08,28.14,28.08,28.12,28.08,28.14,28.08,28.12,     400
2015-10-19 00:00:00,28.18,28.46,28.18,28.45,28.18,28.46,28.18,28.45,    2000
2015-10-20 00:00:00,28.78,28.78,28.44,28.48,28.78,28.78,28.44,28.48,    3200
2015-10-21 00:00:00,28.50,28.50,28.50,28.50,28.50,28.50,28.50,28.50,     400
2015-10-22 00:00:00,28.62,28.87,28.61,28.86,28.62,28.87,28.61,28.86,    2200
2015-10-23 00:00:00,28.50,28.51,28.40,28.51,28.50,28.51,28.40,28.51,    3500
2015-10-26 00:00:00,28.48,28.56,28.48,28.55,28.48,28.56,28.48,28.55,     600
2015-10-27 00:00:00,28.51,28.56,28.45,28.56,28.51,28.56,28.45,28.56,    3400
2015-10-28 00:00:00,28.67,28.75,28.46,28.46,28.67,28.75,28.46,28.46,    3200
2015-10-29 00:00:00,28.48,28.58,28.46,28.58,28.48,28.58,28.46,28.58,    3900
2015-10-30 00:00:00,28.40,28.40,28.40,28.40,28.40,28.40,28.40,28.40,     200
2015-11-02 00:00:00,28.40,28.40,28.40,28.40,28.40,28.40,28.40,28.40,     100
2015-11-03 00:00:00,29.00,29.00,28.74,28.77,29.00,29.00,28.74,28.77,     500
2015-11-04 00:00:00,28.93,28.93,28.65,28.65,28.93,28.93,28.65,28.65,    1900
2015-11-05 00:00:00,28.71,28.71,28.40,28.54,28.71,28.71,28.40,28.54,   23800
2015-11-06 00:00:00,27.88,27.88,27.49,27.49,27.88,27.88,27.49,27.49,    9000
2015-11-09 00:00:00,27.59,27.63,27.17,27.27,27.59,27.63,27.17,27.27,   45500
2015-11-10 00:00:00,27.63,27.63,27.40,27.56,27.63,27.63,27.40,27.56,   27200
2015-11-11 00:00:00,27.63,27.77,27.52,27.66,27.63,27.77,27.52,27.66,   27100
2015-11-12 00:00:00,27.40,27.61,27.40,27.49,27.40,27.61,27.40,27.49,   63900
2015-11-13 00:00:00,27.37,27.41,27.13,27.13,27.37,27.41,27.13,27.13,   47700
2015-11-16 00:00:00,27.10,27.18,27.10,27.10,27.10,27.18,27.10,27.10,    4200
2015-11-17 00:00:00,27.53,27.70,27.47,27.52,27.53,27.70,27.47,27.52,   25700
2015-11-18 00:00:00,27.20,27.85,24.50,27.85,27.20,27.85,24.50,27.85,   28600
