period,bid_price_open,bid_price_high,bid_price_low,bid_price_close,ask_price_open,ask_price_high,ask_price_low,ask_price_close,volume
2015-10-08 00:00:00,40.21,40.80,40.09,40.74,40.21,40.80,40.09,40.74,10530400
2015-10-09 00:00:00,40.73,40.76,40.41,40.54,40.73,40.76,40.41,40.54,13095100
2015-10-12 00:00:00,40.69,41.14,40.55,40.90,40.69,41.14,40.55,40.90, 7493000
2015-10-13 00:00:00,40.87,41.04,40.73,40.81,40.87,41.04,40.73,40.81, 9573400
2015-10-14 00:00:00,41.00,41.11,40.75,40.80,41.00,41.11,40.75,40.80, 7845500
2015-10-15 00:00:00,40.96,41.48,40.76,41.40,40.96,41.48,40.76,41.40, 8284100
2015-10-16 00:00:00,41.44,41.72,41.33,41.46,41.44,41.72,41.33,41.46, 9408700
2015-10-19 00:00:00,41.42,41.51,41.07,41.49,41.42,41.51,41.07,41.49,10216200
2015-10-20 00:00:00,41.36,41.80,41.33,41.63,41.36,41.80,41.33,41.63, 9763100
2015-10-21 00:00:00,41.75,41.97,41.51,41.54,41.75,41.97,41.51,41.54, 8411000
2015-10-22 00:00:00,41.72,42.14,41.57,42.02,41.72,42.14,41.57,42.02,13110000
2015-10-23 00:00:00,41.99,42.00,41.26,41.28,41.99,42.00,41.26,41.28,12585200
2015-10-26 00:00:00,41.38,41.40,40.81,41.13,41.38,41.40,40.81,41.13,11113500
2015-10-27 00:00:00,41.10,41.19,40.86,40.99,41.10,41.19,40.86,40.99, 8496200
2015-10-28 00:00:00,41.00,41.15,40.10,40.55,41.00,41.15,40.10,40.55,17421100
2015-10-29 00:00:00,40.35,40.48,39.78,40.32,40.35,40.48,39.78,40.32,16289800
2015-10-30 00:00:00,40.37,40.66,40.22,40.51,40.37,40.66,40.22,40.51,11631700
2015-11-02 00:00:00,40.48,40.63,40.24,40.55,40.48,40.63,40.24,40.55,17436800
2015-11-03 00:00:00,40.40,40.72,40.29,40.67,40.40,40.72,40.29,40.67,12433200
2015-11-04 00:00:00,40.63,41.01,40.63,40.88,40.63,41.01,40.63,40.88,10718900
2015-11-05 00:00:00,40.80,40.92,40.53,40.53,40.80,40.92,40.53,40.53,13762900
