period,bid_price_open,bid_price_high,bid_price_low,bid_price_close,ask_price_open,ask_price_high,ask_price_low,ask_price_close,volume
2015-10-08 00:00:00,65.19,65.97,64.54,65.75,65.19,65.97,64.54,65.75,23182700
2015-10-09 00:00:00,65.86,66.33,65.57,66.05,65.86,66.33,65.57,66.05,13890000
2015-10-12 00:00:00,65.76,66.44,65.68,66.23,65.76,66.44,65.68,66.23,11074500
2015-10-13 00:00:00,65.93,66.78,65.33,65.40,65.93,66.78,65.33,65.40,17273300
2015-10-14 00:00:00,65.75,66.29,65.09,65.27,65.75,66.29,65.09,65.27,21786200
2015-10-15 00:00:00,64.92,66.73,64.85,66.73,64.92,66.73,64.85,66.73,22133300
2015-10-16 00:00:00,66.91,67.42,66.75,67.33,66.91,67.42,66.75,67.33,17657000
2015-10-19 00:00:00,67.11,67.75,66.74,67.57,67.11,67.75,66.74,67.57,15694700
2015-10-20 00:00:00,67.36,67.57,66.22,66.51,67.36,67.57,66.22,66.51,14802100
2015-10-21 00:00:00,66.88,67.14,64.82,65.91,66.88,67.14,64.82,65.91,36068300
2015-10-22 00:00:00,66.01,66.11,64.69,65.51,66.01,66.11,64.69,65.51,35524500
2015-10-23 00:00:00,66.19,67.26,65.92,66.91,66.19,67.26,65.92,66.91,26524200
2015-10-26 00:00:00,66.75,67.63,66.53,67.17,66.75,67.63,66.53,67.17,17831900
2015-10-27 00:00:00,67.36,68.41,67.35,68.39,67.36,68.41,67.35,68.39,25160900
2015-10-28 00:00:00,68.30,69.02,67.69,68.98,68.30,69.02,67.69,68.98,18158000
2015-10-29 00:00:00,69.37,70.46,69.00,69.29,69.37,70.46,69.00,69.29,22378500
2015-10-30 00:00:00,69.50,69.69,68.85,68.85,69.50,69.69,68.85,68.85,12427200
2015-11-02 00:00:00,69.25,70.37,68.85,70.32,69.25,70.37,68.85,70.32,18646600
2015-11-03 00:00:00,70.14,70.29,69.58,70.07,70.14,70.29,69.58,70.07,10428700
2015-11-04 00:00:00,70.32,70.34,69.34,69.76,70.32,70.34,69.34,69.76,11400000
2015-11-05 00:00:00,69.81,69.83,68.88,69.54,69.81,69.83,68.88,69.54, 9172000
2015-11-06 00:00:00,69.11,69.32,68.45,69.25,69.11,69.32,68.45,69.25,12661100
2015-11-09 00:00:00,69.12,69.12,68.32,68.72,69.12,69.12,68.32,68.72,15625000
2015-11-10 00:00:00,68.74,69.34,68.60,69.18,68.74,69.34,68.60,69.18, 9737400
2015-11-11 00:00:00,69.44,69.44,68.49,68.50,69.44,69.44,68.49,68.50,10580900
2015-11-12 00:00:00,68.31,68.42,67.31,67.31,68.31,68.42,67.31,67.31,10870800
2015-11-13 00:00:00,67.17,67.83,67.06,67.14,67.17,67.83,67.06,67.14,18196800
2015-11-16 00:00:00,67.00,67.98,66.99,67.98,67.00,67.98,66.99,67.98,12959800
2015-11-17 00:00:00,68.12,68.73,67.77,68.27,68.12,68.73,67.77,68.27, 7882300
2015-11-18 00:00:00,68.31,69.68,68.31,69.61,68.31,69.68,68.31,69.61,12816300
2015-11-19 00:00:00,69.16,69.25,68.38,68.44,69.16,69.25,68.38,68.44,11128000
2015-11-20 00:00:00,68.79,69.36,68.79,69.03,68.79,69.36,68.79,69.03, 9224500
2015-11-23 00:00:00,68.89,69.28,68.65,68.85,68.89,69.28,68.65,68.85,10362700
2015-11-24 00:00:00,68.43,69.13,68.39,69.07,68.43,69.13,68.39,69.07, 7174700
2015-11-25 00:00:00,69.25,69.54,69.10,69.44,69.25,69.54,69.10,69.44, 4594400
2015-11-27 00:00:00,69.62,69.70,69.39,69.58,69.62,69.70,69.39,69.58, 2658000
2015-11-30 00:00:00,69.68,69.69,68.63,68.63,69.68,69.69,68.63,68.63, 8846100
2015-12-01 00:00:00,68.99,69.85,68.83,69.79,68.99,69.85,68.83,69.79,10659200
2015-12-02 00:00:00,69.87,70.08,69.09,69.20,69.87,70.08,69.09,69.20, 9875100
2015-12-03 00:00:00,69.26,69.35,67.39,67.69,69.26,69.35,67.39,67.69,13191400
2015-12-04 00:00:00,67.98,69.38,67.82,69.28,67.98,69.38,67.82,69.28,14929800
2015-12-07 00:00:00,69.13,69.49,68.53,68.89,69.13,69.49,68.53,68.89, 8511000
2015-12-08 00:00:00,68.37,69.24,68.37,69.05,68.37,69.24,68.37,69.05, 7483600
2015-12-09 00:00:00,68.73,69.39,68.08,68.35,68.73,69.39,68.08,68.35,17593600
2015-12-10 00:00:00,68.35,69.34,68.28,68.86,68.35,69.34,68.28,68.86, 9772800
2015-12-11 00:00:00,68.13,68.41,67.76,67.85,68.13,68.41,67.76,67.85,15178300
2015-12-14 00:00:00,68.11,68.38,67.24,68.29,68.11,68.38,67.24,68.29,20906900
2015-12-15 00:00:00,69.04,69.51,68.81,69.18,69.04,69.51,68.81,69.18,14006300
2015-12-16 00:00:00,69.76,70.18,68.79,70.08,69.76,70.18,68.79,70.08,15273700
2015-12-17 00:00:00,70.27,70.27,69.27,69.33,70.27,70.27,69.27,69.33,11469100
2015-12-18 00:00:00,69.15,69.24,68.32,68.33,69.15,69.24,68.32,68.33,15159800
2015-12-21 00:00:00,68.73,68.95,68.38,68.95,68.73,68.95,68.38,68.95, 6707200
2015-12-22 00:00:00,69.19,69.51,68.79,69.41,69.19,69.51,68.79,69.41, 7421900
2015-12-23 00:00:00,69.85,70.31,69.78,70.16,69.85,70.31,69.78,70.16, 8091000
2015-12-24 00:00:00,69.93,70.45,69.90,70.23,69.93,70.45,69.90,70.23, 2568300
