period,bid_price_open,bid_price_high,bid_price_low,bid_price_close,ask_price_open,ask_price_high,ask_price_low,ask_price_close,volume
2015-10-08 00:00:00,73.76,75.09,73.73,74.98,73.76,75.09,73.73,74.98, 6341600
2015-10-09 00:00:00,75.00,75.14,74.65,75.07,75.00,75.14,74.65,75.07, 8352700
2015-10-12 00:00:00,75.12,75.63,75.11,75.43,75.12,75.63,75.11,75.43, 5489000
2015-10-13 00:00:00,75.18,75.82,74.93,75.02,75.18,75.82,74.93,75.02, 7581500
2015-10-14 00:00:00,75.02,75.28,74.10,74.26,75.02,75.28,74.10,74.26, 7015900
2015-10-15 00:00:00,74.67,75.23,74.10,75.23,74.67,75.23,74.10,75.23, 5703200
2015-10-16 00:00:00,75.20,75.65,75.15,75.62,75.20,75.65,75.15,75.62, 5262900
2015-10-19 00:00:00,75.41,76.03,75.34,75.98,75.41,76.03,75.34,75.98, 4928700
2015-10-20 00:00:00,75.87,76.22,75.64,75.88,75.87,76.22,75.64,75.88, 5013800
2015-10-21 00:00:00,76.08,76.25,75.45,75.54,76.08,76.25,75.45,75.54, 5012400
2015-10-22 00:00:00,76.02,76.68,75.87,76.54,76.02,76.68,75.87,76.54, 8227500
2015-10-23 00:00:00,77.60,77.67,76.51,76.92,77.60,77.67,76.51,76.92, 7895100
2015-10-26 00:00:00,76.94,77.59,76.89,77.46,76.94,77.59,76.89,77.46, 6025000
2015-10-27 00:00:00,77.27,77.37,76.76,77.09,77.27,77.37,76.76,77.09, 4471200
2015-10-28 00:00:00,77.39,77.82,76.81,77.82,77.39,77.82,76.81,77.82,11357900
2015-10-29 00:00:00,77.72,78.18,76.97,78.05,77.72,78.18,76.97,78.05, 4724500
2015-10-30 00:00:00,78.20,78.73,78.00,78.21,78.20,78.73,78.00,78.21, 7771100
2015-11-02 00:00:00,78.49,78.68,78.00,78.57,78.49,78.68,78.00,78.57, 7735000
2015-11-03 00:00:00,78.48,79.07,78.42,78.87,78.48,79.07,78.42,78.87, 7283500
2015-11-04 00:00:00,79.00,79.08,77.96,78.35,79.00,79.08,77.96,78.35, 6236800
2015-11-05 00:00:00,78.47,78.87,78.06,78.63,78.47,78.87,78.06,78.63, 6964700
2015-11-06 00:00:00,78.43,78.83,78.14,78.64,78.43,78.83,78.14,78.64, 6593200
2015-11-09 00:00:00,78.28,78.53,77.02,77.56,78.28,78.53,77.02,77.56, 7009600
2015-11-10 00:00:00,77.46,78.30,77.35,78.30,77.46,78.30,77.35,78.30, 7331400
2015-11-11 00:00:00,78.46,78.48,77.67,77.83,78.46,78.48,77.67,77.83, 7086700
2015-11-12 00:00:00,77.35,77.84,77.05,77.11,77.35,77.84,77.05,77.11, 6075700
2015-11-13 00:00:00,76.62,76.72,74.99,75.08,76.62,76.72,74.99,75.08,11377200
2015-11-16 00:00:00,74.78,75.99,74.63,75.99,74.78,75.99,74.63,75.99, 7383200
2015-11-17 00:00:00,76.36,76.80,75.88,76.13,76.36,76.80,75.88,76.13, 7452300
2015-11-18 00:00:00,76.35,77.53,76.17,77.44,76.35,77.53,76.17,77.44, 7137600
2015-11-19 00:00:00,77.50,77.82,77.32,77.53,77.50,77.82,77.32,77.53, 5685200
2015-11-20 00:00:00,78.12,78.47,77.93,78.46,78.12,78.47,77.93,78.46, 5564900
2015-11-23 00:00:00,78.59,79.06,78.44,78.75,78.59,79.06,78.44,78.75, 4172000
2015-11-24 00:00:00,78.13,78.82,77.78,78.59,78.13,78.82,77.78,78.59, 4545400
2015-11-25 00:00:00,78.73,79.11,78.70,78.98,78.73,79.11,78.70,78.98, 3703200
2015-11-27 00:00:00,79.00,79.00,78.36,78.69,79.00,79.00,78.36,78.69, 2282600
2015-11-30 00:00:00,78.96,78.96,77.94,78.03,78.96,78.96,77.94,78.03, 8647000
2015-12-01 00:00:00,78.45,78.86,78.23,78.83,78.45,78.86,78.23,78.83, 8187400
2015-12-02 00:00:00,78.94,78.96,77.99,78.14,78.94,78.96,77.99,78.14, 6263500
2015-12-03 00:00:00,78.47,78.47,76.63,76.96,78.47,78.47,76.63,76.96, 9828900
2015-12-04 00:00:00,77.24,78.55,77.06,78.45,77.24,78.55,77.06,78.45, 7032200
2015-12-07 00:00:00,78.34,78.48,77.58,78.12,78.34,78.48,77.58,78.12, 6535400
2015-12-08 00:00:00,77.47,78.28,77.26,77.89,77.47,78.28,77.26,77.89, 6083500
2015-12-09 00:00:00,77.74,78.31,76.53,76.90,77.74,78.31,76.53,76.90, 9735800
2015-12-10 00:00:00,77.11,77.64,76.83,77.16,77.11,77.64,76.83,77.16, 4730100
2015-12-11 00:00:00,76.14,76.43,75.24,75.40,76.14,76.43,75.24,75.40,10104200
2015-12-14 00:00:00,75.45,75.95,74.63,75.79,75.45,75.95,74.63,75.79,14915500
2015-12-15 00:00:00,76.56,76.93,76.14,76.20,76.56,76.93,76.14,76.20, 7978800
2015-12-16 00:00:00,76.73,77.62,76.11,77.48,76.73,77.62,76.11,77.48,12074700
2015-12-17 00:00:00,77.49,77.76,76.20,76.20,77.49,77.76,76.20,76.20, 9224600
2015-12-18 00:00:00,76.08,76.10,74.96,75.01,76.08,76.10,74.96,75.01,15053000
2015-12-21 00:00:00,75.51,75.77,74.87,75.39,75.51,75.77,74.87,75.39, 7089000
2015-12-22 00:00:00,75.78,76.09,75.35,75.94,75.78,76.09,75.35,75.94, 6719400
2015-12-23 00:00:00,76.14,76.42,76.01,76.33,76.14,76.42,76.01,76.33, 6024800
2015-12-24 00:00:00,76.20,76.38,76.07,76.12,76.20,76.38,76.07,76.12, 1911800
2015-12-28 00:00:00,75.93,76.37,75.72,76.32,75.93,76.37,75.72,76.32, 4042900
2015-12-29 00:00:00,76.78,77.32,76.63,77.20,76.78,77.32,76.63,77.20, 5740200
2015-12-30 00:00:00,77.14,77.17,76.56,76.58,77.14,77.17,76.56,76.58, 3218900
2015-12-31 00:00:00,76.22,76.64,75.80,75.81,76.22,76.64,75.80,75.81, 6580200
2016-01-04 00:00:00,74.48,74.62,73.70,74.51,74.48,74.62,73.70,74.51,13400400
2016-01-05 00:00:00,74.58,74.83,73.88,74.42,74.58,74.83,73.88,74.42, 7424900
2016-01-06 00:00:00,73.33,74.08,73.10,73.69,73.33,74.08,73.10,73.69,10115400
2016-01-07 00:00:00,72.23,73.44,72.01,72.18,72.23,73.44,72.01,72.18,12645200
2016-01-08 00:00:00,72.76,73.08,71.24,71.40,72.76,73.08,71.24,71.40,10797700
2016-01-11 00:00:00,71.83,72.25,70.92,71.96,71.83,72.25,70.92,71.96,13190800
2016-01-12 00:00:00,72.47,73.20,71.91,72.76,72.47,73.20,71.91,72.76, 8737100
2016-01-13 00:00:00,73.06,73.06,70.16,70.30,73.06,73.06,70.16,70.30,14930500
2016-01-14 00:00:00,70.45,71.44,69.11,70.81,70.45,71.44,69.11,70.81,15919400
2016-01-15 00:00:00,68.97,69.82,68.55,69.35,68.97,69.82,68.55,69.35,14551500
2016-01-19 00:00:00,70.12,70.43,68.91,69.62,70.12,70.43,68.91,69.62,11622600
2016-01-20 00:00:00,68.62,69.61,66.87,69.00,68.62,69.61,66.87,69.00,21443200
2016-01-21 00:00:00,69.22,70.72,68.87,69.89,69.22,70.72,68.87,69.89,15944200
2016-01-22 00:00:00,71.02,71.38,70.67,71.11,71.02,71.38,70.67,71.11, 7185100
2016-01-25 00:00:00,71.10,71.29,70.22,70.30,71.10,71.29,70.22,70.30, 7148400
2016-01-26 00:00:00,70.56,71.47,70.21,71.32,70.56,71.47,70.21,71.32, 7913800
2016-01-27 00:00:00,71.20,71.66,69.88,70.21,71.20,71.66,69.88,70.21,10642700
2016-01-28 00:00:00,71.09,71.30,69.85,71.11,71.09,71.30,69.85,71.11,10402200
2016-01-29 00:00:00,70.75,71.95,70.49,71.89,70.75,71.95,70.49,71.89,11526300
2016-02-01 00:00:00,71.47,72.61,71.13,72.32,71.47,72.61,71.13,72.32, 8299400
2016-02-02 00:00:00,71.83,72.05,70.66,70.92,71.83,72.05,70.66,70.92, 9048900
2016-02-03 00:00:00,71.59,71.62,69.37,70.73,71.59,71.62,69.37,70.73,13351800
2016-02-04 00:00:00,70.51,70.68,69.71,70.32,70.51,70.68,69.71,70.32, 9928000
2016-02-05 00:00:00,70.01,70.07,67.86,68.05,70.01,70.07,67.86,68.05,12823400
2016-02-08 00:00:00,67.31,67.31,65.58,66.74,67.31,67.31,65.58,66.74,13176000
2016-02-09 00:00:00,65.88,67.40,65.77,66.63,65.88,67.40,65.77,66.63,14378800
2016-02-10 00:00:00,66.69,67.67,66.48,66.51,66.69,67.67,66.48,66.51,13287200
2016-02-11 00:00:00,65.56,66.89,65.56,66.47,65.56,66.89,65.56,66.47,13565300
2016-02-12 00:00:00,67.20,67.72,66.57,67.70,67.20,67.72,66.57,67.70,10927200
2016-02-16 00:00:00,68.69,69.35,68.29,69.33,68.69,69.35,68.29,69.33,10470400
2016-02-17 00:00:00,70.06,71.01,69.97,70.83,70.06,71.01,69.97,70.83, 9774700
2016-02-18 00:00:00,70.87,70.89,70.12,70.36,70.87,70.89,70.12,70.36, 6974200
2016-02-19 00:00:00,69.92,70.58,69.50,70.56,69.92,70.58,69.50,70.56, 7591600
2016-02-22 00:00:00,71.19,72.03,71.13,71.92,71.19,72.03,71.13,71.92, 5645000
2016-02-23 00:00:00,71.72,72.23,71.33,71.53,71.72,72.23,71.33,71.53, 6456700
2016-02-24 00:00:00,70.94,72.06,70.14,71.94,70.94,72.06,70.14,71.94,10821600
2016-02-25 00:00:00,72.02,72.68,71.61,72.66,72.02,72.68,71.61,72.66, 5526200
2016-02-26 00:00:00,73.13,73.13,72.44,72.58,73.13,73.13,72.44,72.58, 6966300
2016-02-29 00:00:00,72.60,73.17,72.21,72.21,72.60,73.17,72.21,72.21, 8742800
2016-03-01 00:00:00,72.84,74.17,72.59,74.12,72.84,74.17,72.59,74.12, 9345800
2016-03-02 00:00:00,73.99,74.13,73.53,74.05,73.99,74.13,73.53,74.05, 7637800
2016-03-03 00:00:00,73.92,74.50,73.73,74.49,73.92,74.50,73.73,74.49, 9519400
2016-03-04 00:00:00,74.52,74.74,74.09,74.42,74.52,74.74,74.09,74.42, 7746700
2016-03-07 00:00:00,74.03,74.48,73.66,74.10,74.03,74.48,73.66,74.10, 7435500
2016-03-08 00:00:00,73.66,74.20,73.45,73.52,73.66,74.20,73.45,73.52, 6340000
2016-03-09 00:00:00,73.80,73.85,73.18,73.66,73.80,73.85,73.18,73.66, 6744700
2016-03-10 00:00:00,74.01,74.32,72.88,73.85,74.01,74.32,72.88,73.85, 8060400
2016-03-11 00:00:00,74.47,74.98,74.28,74.98,74.47,74.98,74.28,74.98, 5693600
2016-03-14 00:00:00,74.77,75.47,74.77,75.26,74.77,75.47,74.77,75.26, 5500300
2016-03-15 00:00:00,74.79,75.27,74.79,75.24,74.79,75.27,74.79,75.24, 4499600
2016-03-16 00:00:00,75.15,76.02,74.94,75.85,75.15,76.02,74.94,75.85, 7254300
2016-03-17 00:00:00,75.69,76.24,75.46,75.96,75.69,76.24,75.46,75.96, 6160800
2016-03-18 00:00:00,76.10,76.43,75.92,76.06,76.10,76.43,75.92,76.06, 9706500
2016-03-21 00:00:00,76.04,76.19,75.62,76.10,76.04,76.19,75.62,76.10, 4049400
2016-03-22 00:00:00,75.55,76.19,75.52,75.97,75.55,76.19,75.52,75.97, 4492300
2016-03-23 00:00:00,75.61,75.81,75.36,75.44,75.61,75.81,75.36,75.44, 8522000
2016-03-24 00:00:00,74.82,75.54,74.61,75.53,74.82,75.54,74.61,75.53, 6958100
