period,bid_price_open,bid_price_high,bid_price_low,bid_price_close,ask_price_open,ask_price_high,ask_price_low,ask_price_close,volume
2015-10-09 00:00:00,69.540001,69.620003,68.510002,68.940002,69.540001,69.620003,68.510002,68.940002,25985700
2015-10-16 00:00:00,69.379997,69.559998,68.279999,69.230003,69.379997,69.559998,68.279999,69.230003,20031200
2015-10-23 00:00:00,68.099998,68.900002,67.660004,68.260002,68.099998,68.900002,67.660004,68.260002,15631000
2015-10-30 00:00:00,67.949997,68.760002,67.150002,68.029999,67.949997,68.760002,67.150002,68.029999,14257200
2015-11-06 00:00:00,69.540001,70.080002,68.769997,69.800003,69.540001,70.080002,68.769997,69.800003,13761200
2015-11-13 00:00:00,66.029999,66.580002,65.199997,65.980003,66.029999,66.580002,65.199997,65.980003,17779600
2015-11-20 00:00:00,67.639999,67.949997,66.830002,66.900002,67.639999,67.949997,66.830002,66.900002,14214000
2015-11-27 00:00:00,67.709999,68.050003,67.529999,67.769997,67.709999,68.050003,67.529999,67.769997,8376400
2015-12-04 00:00:00,64.5,65.080002,63.48,64.699997,64.5,65.080002,63.48,64.699997,32839300
2015-12-11 00:00:00,61.73,61.959999,60.400002,60.459999,61.73,61.959999,60.400002,60.459999,29004000
2015-12-18 00:00:00,59.900002,59.939999,58.77,58.790001,59.900002,59.939999,58.77,58.790001,27139200
2016-01-08 00:00:00,57.259998,57.389999,55.84,56.049999,57.259998,57.389999,55.84,56.049999,19227100
2016-01-15 00:00:00,53.630001,54.869999,53.32,54.349998,53.630001,54.869999,53.32,54.349998,36880200
2016-01-22 00:00:00,55.330002,56.119999,54.450001,55.740002,55.330002,56.119999,54.450001,55.740002,38622500
2016-01-29 00:00:00,56.66,58.27,56.490002,58.209999,56.66,58.27,56.490002,58.209999,31498200
2016-02-05 00:00:00,56.5,56.740002,55.470001,55.939999,56.5,56.740002,55.470001,55.939999,30241000
2016-02-12 00:00:00,54.599998,55.52,54.110001,55.279999,54.599998,55.52,54.110001,55.279999,25782000
2016-02-19 00:00:00,56.18,56.830002,55.700001,56.810001,56.18,56.830002,55.700001,56.810001,25128800
2016-02-26 00:00:00,57.84,58,57.040001,57.23,57.84,58,57.040001,57.23,21155100
2016-03-04 00:00:00,60.720001,61.830002,60.07,60.959999,60.720001,61.830002,60.07,60.959999,30551600
2016-03-11 00:00:00,61.59,62.57,61.52,62.360001,61.59,62.57,61.52,62.360001,24783600
2016-03-18 00:00:00,63.790001,63.849998,62.900002,63.490002,63.790001,63.849998,62.900002,63.490002,30474000
2016-04-01 00:00:00,60.82,61.240002,60.610001,61.060001,60.82,61.240002,60.610001,61.060001,14804800
2016-04-08 00:00:00,62.290001,62.709999,62.060001,62.369999,62.290001,62.709999,62.060001,62.369999,17666500
2016-04-15 00:00:00,64.050003,64.160004,63.459999,63.540001,64.050003,64.160004,63.459999,63.540001,14221200
2016-04-22 00:00:00,66.239998,67.290001,66.190002,67.040001,66.239998,67.290001,66.190002,67.040001,15764500
2016-04-29 00:00:00,67.760002,68.419998,66.470001,67.5,67.760002,68.419998,66.470001,67.5,24107400
2016-05-06 00:00:00,65,66.07,64.830002,65.269997,65,66.07,64.830002,65.269997,12545500
2016-05-13 00:00:00,65.540001,66.040001,64.849998,64.989998,65.540001,66.040001,64.849998,64.989998,12371900
2016-05-20 00:00:00,65.970001,66.300003,65.57,66.160004,65.970001,66.300003,65.57,66.160004,9833500
2016-05-27 00:00:00,66.849998,67.18,66.480003,67.129997,66.849998,67.18,66.480003,67.129997,9258700
2016-06-03 00:00:00,66.800003,67.150002,66.150002,66.540001,66.800003,67.150002,66.150002,66.540001,12157700
2016-06-10 00:00:00,68.150002,68.589996,67.279999,67.370003,68.150002,68.589996,67.279999,67.370003,14490200
2016-06-17 00:00:00,66.900002,67.019997,66.5,66.889999,66.900002,67.019997,66.5,66.889999,17435900
2016-06-24 00:00:00,66.349998,67.550003,66.290001,66.779999,66.349998,67.550003,66.290001,66.779999,26879900
2016-07-01 00:00:00,68.160004,68.849998,68.110001,68.599998,68.160004,68.849998,68.110001,68.599998,12678800
2016-07-08 00:00:00,67.419998,67.949997,67.050003,67.709999,67.419998,67.949997,67.050003,67.709999,11567900
2016-07-15 00:00:00,69.519997,69.68,68.970001,69.230003,69.519997,69.68,68.970001,69.230003,9129500
2016-07-22 00:00:00,68.260002,68.43,67.879997,68.32,68.260002,68.43,67.879997,68.32,7990600
2016-07-29 00:00:00,65.75,67.459999,65.690002,67.379997,65.75,67.459999,65.690002,67.379997,16501800
2016-08-05 00:00:00,66.959999,67.620003,66.839996,67.529999,66.959999,67.620003,66.839996,67.529999,11426800
2016-08-12 00:00:00,68.5,68.910004,68.32,68.699997,68.5,68.910004,68.32,68.699997,10189700
2016-08-19 00:00:00,70.769997,70.769997,70.150002,70.410004,70.769997,70.769997,70.150002,70.410004,11045700
2016-08-26 00:00:00,69.739998,70.279999,69.050003,69.379997,69.739998,70.279999,69.050003,69.379997,14575100
2016-09-02 00:00:00,68.980003,69.25,68.650002,69.080002,68.980003,69.25,68.650002,69.080002,10794400
2016-09-09 00:00:00,71.169998,71.389999,69.699997,69.699997,71.169998,71.389999,69.699997,69.699997,21771800
2016-09-16 00:00:00,67.010002,67.699997,67.010002,67.449997,67.010002,67.699997,67.010002,67.449997,17394400
2016-09-23 00:00:00,68.220001,68.839996,67.25,67.639999,68.220001,68.839996,67.25,67.639999,23075200
2016-09-30 00:00:00,70.150002,70.980003,69.699997,70.610001,70.150002,70.980003,69.699997,70.610001,14714500
2016-10-07 00:00:00,71.029999,71.330002,70.400002,70.610001,71.029999,71.330002,70.400002,70.610001,11744400
2016-10-14 00:00:00,70.57,70.800003,69.75,69.800003,70.57,70.800003,69.75,69.800003,11372400
2016-10-21 00:00:00,70.190002,70.309998,69.779999,70.190002,70.190002,70.309998,69.779999,70.190002,14238500
2016-10-28 00:00:00,69.440002,70.43,68.93,69.370003,69.440002,70.43,68.93,69.370003,18558400
2016-11-04 00:00:00,67.800003,68.459999,67.360001,67.769997,67.800003,68.459999,67.360001,67.769997,17554100
2016-11-11 00:00:00,70.330002,70.470001,68.889999,69.459999,70.330002,70.470001,68.889999,69.459999,17659700
2016-11-18 00:00:00,71.089996,71.529999,70.730003,71.129997,71.089996,71.529999,70.730003,71.129997,11962300
2016-11-25 00:00:00,72.769997,72.93,72.360001,72.720001,72.769997,72.93,72.360001,72.720001,8791800
2016-12-02 00:00:00,74.57,75.18,74.360001,74.830002,74.57,75.18,74.360001,74.830002,18338800
2016-12-09 00:00:00,76.760002,76.760002,76.160004,76.599998,76.760002,76.760002,76.160004,76.599998,8974800
