period,bid_price_open,bid_price_high,bid_price_low,bid_price_close,ask_price_open,ask_price_high,ask_price_low,ask_price_close,volume
2015-10-09 00:00:00,19.04143,19.057676,18.797726,18.87896,19.04143,19.057676,18.797726,18.87896,58339100
2015-10-16 00:00:00,19.073923,19.163282,19.033306,19.130789,19.073923,19.163282,19.033306,19.130789,36542200
2015-10-23 00:00:00,19.553209,19.618196,19.46385,19.610073,19.553209,19.618196,19.46385,19.610073,45903400
2015-10-30 00:00:00,19.796913,19.81316,19.536963,19.561333,19.796913,19.81316,19.536963,19.561333,62867600
2015-11-06 00:00:00,20.259951,20.284321,20.016247,20.089357,20.259951,20.284321,20.016247,20.089357,85556100
2015-11-13 00:00:00,19.496344,19.634443,19.374493,19.431356,19.496344,19.634443,19.374493,19.431356,53877700
2015-11-20 00:00:00,20.064987,20.121853,19.983753,20.040617,20.064987,20.121853,19.983753,20.040617,44189300
2015-11-27 00:00:00,19.95126,19.991877,19.853777,19.967506,19.95126,19.991877,19.853777,19.967506,23191000
2015-12-04 00:00:00,19.731926,20.16247,19.683184,20.129976,19.731926,20.16247,19.683184,20.129976,52547400
2015-12-11 00:00:00,19.187653,19.309504,18.943949,19.049553,19.187653,19.309504,18.943949,19.049553,89542000
2015-12-18 00:00:00,19.309504,19.333876,18.927702,18.927702,19.309504,19.333876,18.927702,18.927702,113598700
2016-01-08 00:00:00,18.399675,18.415922,17.912266,17.952885,18.399675,18.415922,17.912266,17.952885,83028200
2016-01-15 00:00:00,17.197401,17.481722,17.164907,17.400488,17.197401,17.481722,17.164907,17.400488,93733100
2016-01-22 00:00:00,17.197401,17.359871,17.164907,17.286758,17.197401,17.359871,17.164907,17.286758,59334200
2016-01-29 00:00:00,17.286758,17.652315,17.229895,17.644192,17.286758,17.652315,17.229895,17.644192,100518900
2016-02-05 00:00:00,17.262388,17.351746,16.969944,17.018684,17.262388,17.351746,16.969944,17.018684,81506700
2016-02-12 00:00:00,16.352558,16.645004,16.279448,16.645004,16.352558,16.645004,16.279448,16.645004,119640600
2016-02-19 00:00:00,16.904955,17.116165,16.880585,17.043055,16.904955,17.116165,16.880585,17.043055,91481800
2016-02-26 00:00:00,17.311129,17.473598,17.221771,17.319252,17.311129,17.473598,17.221771,17.319252,100096300
2016-03-04 00:00:00,18.115353,18.188465,17.961008,18.099106,18.115353,18.188465,17.961008,18.099106,70707200
2016-03-11 00:00:00,17.985378,18.294069,17.985378,18.269699,17.985378,18.294069,17.985378,18.269699,79284200
2016-03-18 00:00:00,18.415922,18.537775,18.367182,18.464663,18.415922,18.537775,18.367182,18.464663,65031200
2016-04-01 00:00:00,18.188465,18.464663,18.115353,18.440292,18.188465,18.464663,18.115353,18.440292,45753300
2016-04-08 00:00:00,17.969131,18.090982,17.879772,17.912266,17.969131,18.090982,17.879772,17.912266,55956800
2016-04-15 00:00:00,18.71649,18.740862,18.570269,18.602762,18.71649,18.740862,18.570269,18.602762,53901700
2016-04-22 00:00:00,18.968319,19.171406,18.968319,19.130789,18.968319,19.171406,18.968319,19.130789,46728100
2016-04-29 00:00:00,18.935825,19.008936,18.765232,18.935825,18.935825,19.008936,18.765232,18.935825,60318100
2016-05-06 00:00:00,18.570269,18.797726,18.570269,18.789602,18.570269,18.797726,18.570269,18.789602,38912400
2016-05-13 00:00:00,18.773355,18.90333,18.554022,18.586515,18.773355,18.90333,18.554022,18.586515,45538800
2016-05-20 00:00:00,18.822096,18.960196,18.789602,18.854589,18.822096,18.960196,18.789602,18.854589,35765300
2016-05-27 00:00:00,19.244516,19.350122,19.220146,19.341999,19.244516,19.350122,19.220146,19.341999,36433600
2016-06-03 00:00:00,19.138912,19.155159,18.895206,19.098293,19.138912,19.155159,18.895206,19.098293,84455700
2016-06-10 00:00:00,18.830219,18.90333,18.757109,18.813972,18.830219,18.90333,18.757109,18.813972,47349600
2016-06-17 00:00:00,18.407799,18.456539,18.285946,18.367182,18.407799,18.456539,18.285946,18.367182,46524500
2016-06-24 00:00:00,17.961008,18.350935,17.871649,17.936636,17.961008,18.350935,17.871649,17.936636,165914600
2016-07-01 00:00:00,18.497156,18.602762,18.440292,18.472786,18.497156,18.602762,18.440292,18.472786,45095300
2016-07-08 00:00:00,18.521526,18.643379,18.497156,18.619009,18.521526,18.643379,18.497156,18.619009,55327400
2016-07-15 00:00:00,19.212023,19.22827,18.984566,19.106417,19.212023,19.22827,18.984566,19.106417,62710900
2016-07-22 00:00:00,19.138912,19.244516,19.106417,19.236393,19.138912,19.244516,19.106417,19.236393,23484700
2016-07-29 00:00:00,19.171406,19.30138,19.171406,19.212023,19.171406,19.30138,19.171406,19.212023,54440600
2016-08-05 00:00:00,19.350122,19.512592,19.293257,19.512592,19.350122,19.512592,19.293257,19.512592,51542300
2016-08-12 00:00:00,19.309504,19.41511,19.30138,19.382616,19.309504,19.41511,19.30138,19.382616,28861500
2016-08-19 00:00:00,19.455727,19.520716,19.382616,19.504467,19.455727,19.520716,19.382616,19.504467,31510100
2016-08-26 00:00:00,19.618196,19.731926,19.46385,19.585703,19.618196,19.731926,19.46385,19.585703,64953300
2016-09-02 00:00:00,19.894394,20.016247,19.870024,19.959383,19.894394,20.016247,19.870024,19.959383,66918300
2016-09-09 00:00:00,19.78879,19.8619,19.528839,19.528839,19.78879,19.8619,19.528839,19.528839,66476800
2016-09-16 00:00:00,19.293257,19.30138,19.130789,19.187653,19.293257,19.30138,19.130789,19.187653,75235700
2016-09-23 00:00:00,19.41,19.51,19.35,19.379999,19.41,19.51,19.35,19.379999,59009500
2016-09-30 00:00:00,19.139999,19.4,19.110001,19.299999,19.139999,19.4,19.110001,19.299999,47336900
2016-10-07 00:00:00,19.549999,19.66,19.49,19.620001,19.549999,19.66,19.49,19.620001,55532800
2016-10-14 00:00:00,19.559999,19.620001,19.360001,19.42,19.559999,19.620001,19.360001,19.42,76176500
2016-10-21 00:00:00,19.5,19.67,19.469999,19.65,19.5,19.67,19.469999,19.65,39543100
2016-10-28 00:00:00,19.9,19.92,19.620001,19.77,19.9,19.92,19.620001,19.77,55749900
2016-11-04 00:00:00,19.559999,19.65,19.4,19.49,19.559999,19.65,19.4,19.49,64891400
2016-11-11 00:00:00,21.469999,21.700001,21.4,21.67,21.469999,21.700001,21.4,21.67,133530900
2016-11-18 00:00:00,22.139999,22.24,22.059999,22.16,22.139999,22.24,22.059999,22.16,92344300
2016-11-25 00:00:00,22.43,22.450001,22.32,22.41,22.43,22.450001,22.32,22.41,33114800
2016-12-02 00:00:00,22.84,22.85,22.549999,22.65,22.84,22.85,22.549999,22.65,82108300
2016-12-09 00:00:00,23.700001,23.75,23.530001,23.75,23.700001,23.75,23.530001,23.75,95677300
2016-12-16 00:00:00,23.68,23.690001,23.33,23.360001,23.68,23.690001,23.33,23.360001,83096500
2016-12-23 00:00:00,23.540001,23.58,23.469999,23.58,23.540001,23.58,23.469999,23.58,18272500
2016-12-30 00:00:00,23.290001,23.33,23.17,23.25,23.290001,23.33,23.17,23.25,44761200
