period,bid_price_open,bid_price_high,bid_price_low,bid_price_close,ask_price_open,ask_price_high,ask_price_low,ask_price_close,volume
2015-10-09 00:00:00,53.759998,53.759998,53.209999,53.380001,53.759998,53.759998,53.209999,53.380001,33291000
2015-10-16 00:00:00,53,53,52.32,52.549999,53,53,52.32,52.549999,13954700
2015-10-23 00:00:00,54.779999,54.860001,54.310001,54.66,54.779999,54.860001,54.310001,54.66,13400900
2015-10-30 00:00:00,54.360001,54.560001,54.25,54.27,54.360001,54.560001,54.25,54.27,14763600
2015-11-06 00:00:00,54.540001,54.869999,54.290001,54.860001,54.540001,54.869999,54.290001,54.860001,15269300
2015-11-13 00:00:00,53.549999,53.959999,53.43,53.52,53.549999,53.959999,53.43,53.52,13959100
2015-11-20 00:00:00,55.310001,55.560001,55.16,55.369999,55.310001,55.560001,55.16,55.369999,9014100
2015-11-27 00:00:00,54.959999,55.169998,54.860001,55.099998,54.959999,55.169998,54.860001,55.099998,4454500
2015-12-04 00:00:00,53.84,54.57,53.720001,54.560001,53.84,54.57,53.720001,54.560001,13891900
2015-12-11 00:00:00,53.07,53.209999,52.529999,52.610001,53.07,53.209999,52.529999,52.610001,24625500
2015-12-18 00:00:00,52.43,52.43,51.700001,51.740002,52.43,52.43,51.700001,51.740002,19378200
2016-01-08 00:00:00,50.709999,50.709999,49.650002,49.720001,50.709999,50.709999,49.650002,49.720001,17198600
2016-01-15 00:00:00,48.139999,48.84,48.02,48.650002,48.139999,48.84,48.02,48.650002,20434600
2016-01-22 00:00:00,48.84,48.990002,48.220001,48.639999,48.84,48.990002,48.220001,48.639999,12781600
2016-01-29 00:00:00,49,50.009998,48.880001,49.990002,49,50.009998,48.880001,49.990002,14570300
2016-02-05 00:00:00,50.25,50.540001,49.799999,50.040001,50.25,50.540001,49.799999,50.040001,15512300
2016-02-12 00:00:00,48.98,49.68,48.880001,49.669998,48.98,49.68,48.880001,49.669998,19249100
2016-02-19 00:00:00,50.98,51.380001,50.889999,51.32,50.98,51.380001,50.889999,51.32,12613600
2016-02-26 00:00:00,52.509998,52.849998,52.439999,52.450001,52.509998,52.849998,52.439999,52.450001,8312300
2016-03-04 00:00:00,53.529999,54.099998,53.41,53.779999,53.529999,54.099998,53.41,53.779999,10006900
2016-03-11 00:00:00,53.759998,54.169998,53.720001,54.040001,53.759998,54.169998,53.720001,54.040001,11059900
2016-03-18 00:00:00,55.299999,55.75,55.240002,55.630001,55.299999,55.75,55.240002,55.630001,17059800
2016-04-01 00:00:00,55.150002,55.73,54.75,55.73,55.150002,55.73,54.75,55.73,16184500
2016-04-08 00:00:00,54.84,55.32,54.669998,54.709999,54.84,55.32,54.669998,54.709999,9188900
2016-04-15 00:00:00,56.07,56.099998,55.900002,56.049999,56.07,56.099998,55.900002,56.049999,10781600
2016-04-22 00:00:00,56.310001,56.5,56.139999,56.41,56.310001,56.5,56.139999,56.41,14749400
2016-04-29 00:00:00,56.169998,56.400002,55.82,56.16,56.169998,56.400002,55.82,56.16,16369900
2016-05-06 00:00:00,55.040001,55.68,54.939999,55.639999,55.040001,55.68,54.939999,55.639999,9934400
2016-05-13 00:00:00,55.66,55.880001,54.900002,55.049999,55.66,55.880001,54.900002,55.049999,13018000
2016-05-20 00:00:00,54.970001,55.32,54.959999,55.029999,54.970001,55.32,54.959999,55.029999,9397900
2016-05-27 00:00:00,55.84,55.950001,55.779999,55.93,55.84,55.950001,55.779999,55.93,6250000
2016-06-03 00:00:00,55.919998,56.130001,55.549999,55.990002,55.919998,56.130001,55.549999,55.990002,11948800
2016-06-10 00:00:00,56.68,56.810001,56.32,56.470001,56.68,56.810001,56.32,56.470001,13734300
2016-06-17 00:00:00,55.57,55.919998,55.459999,55.73,55.57,55.919998,55.459999,55.73,15947800
2016-06-24 00:00:00,54.720001,55.48,54.23,54.380001,54.720001,55.48,54.23,54.380001,34954000
2016-07-01 00:00:00,56.029999,56.459999,55.990002,56.189999,56.029999,56.459999,55.990002,56.189999,23322700
2016-07-08 00:00:00,56.599998,57.330002,56.139999,57.23,56.599998,57.330002,56.139999,57.23,16226400
2016-07-15 00:00:00,58.889999,58.919998,58.549999,58.689999,58.889999,58.919998,58.549999,58.689999,6238000
2016-07-22 00:00:00,57.919998,58.299999,57.700001,58.290001,57.919998,58.299999,57.700001,58.290001,8747800
2016-07-29 00:00:00,58.029999,58.240002,57.830002,58.040001,58.029999,58.240002,57.830002,58.040001,10712400
2016-08-05 00:00:00,58.060001,58.369999,57.98,58.310001,58.060001,58.369999,57.98,58.310001,7380100
2016-08-12 00:00:00,58.619999,58.68,58.459999,58.560001,58.619999,58.68,58.459999,58.560001,4357400
2016-08-19 00:00:00,58.700001,59.099998,58.669998,59.02,58.700001,59.099998,58.669998,59.02,8334300
2016-08-26 00:00:00,58.939999,59.25,58.48,58.66,58.939999,59.25,58.48,58.66,15676900
2016-09-02 00:00:00,58.91,59.130001,58.740002,58.93,58.91,59.130001,58.740002,58.93,11405400
2016-09-09 00:00:00,58.25,58.369999,57.119999,57.119999,58.25,58.369999,57.119999,57.119999,19609100
2016-09-16 00:00:00,56.830002,57.049999,56.5,56.610001,56.830002,57.049999,56.5,56.610001,15706400
2016-09-23 00:00:00,57.990002,57.990002,57.669998,57.720001,57.990002,57.990002,57.669998,57.720001,11269400
2016-09-30 00:00:00,58.119999,58.599998,58.060001,58.380001,58.119999,58.599998,58.060001,58.380001,11206800
2016-10-07 00:00:00,57.919998,57.939999,57.310001,57.560001,57.919998,57.939999,57.310001,57.560001,12646100
2016-10-14 00:00:00,57.490002,57.66,57.209999,57.23,57.490002,57.66,57.209999,57.23,7633400
2016-10-21 00:00:00,56.610001,57.029999,56.400002,56.990002,56.610001,57.029999,56.400002,56.990002,9850700
2016-10-28 00:00:00,56.849998,57.470001,56.810001,57.099998,56.849998,57.470001,56.810001,57.099998,11514100
2016-11-04 00:00:00,56.41,56.950001,56.299999,56.470001,56.41,56.950001,56.299999,56.470001,8438100
2016-11-11 00:00:00,60.779999,61.080002,60.529999,61.049999,60.779999,61.080002,60.529999,61.049999,24055100
2016-11-18 00:00:00,61.380001,61.380001,61.110001,61.299999,61.380001,61.380001,61.110001,61.299999,9246400
2016-11-25 00:00:00,62.549999,62.709999,62.450001,62.709999,62.549999,62.709999,62.450001,62.709999,4172500
2016-12-02 00:00:00,62.919998,63.029999,62.669998,62.810001,62.919998,63.029999,62.669998,62.810001,11902500
2016-12-09 00:00:00,63.689999,64.040001,63.66,63.98,63.689999,64.040001,63.66,63.98,7939600
2016-12-16 00:00:00,62.580002,63.029999,62.470001,62.580002,62.580002,63.029999,62.470001,62.580002,9427500
2016-12-23 00:00:00,62.919998,63.060001,62.869999,62.990002,62.919998,63.060001,62.869999,62.990002,5100800
2016-12-30 00:00:00,62.599998,62.75,62.02,62.220001,62.599998,62.75,62.02,62.220001,6932300
2017-01-06 00:00:00,62.790001,63.310001,62.580002,63.139999,62.790001,63.310001,62.580002,63.139999,12124500
2017-01-13 00:00:00,63.02,63.279999,63,63.220001,63.02,63.279999,63,63.220001,7130200
2017-01-20 00:00:00,63.41,63.509998,63.080002,63.439999,63.41,63.509998,63.080002,63.439999,11620300
2017-01-27 00:00:00,64.620003,64.769997,64.379997,64.489998,64.620003,64.769997,64.379997,64.489998,8697700
2017-02-03 00:00:00,63.299999,63.700001,63.240002,63.619999,63.299999,63.700001,63.240002,63.619999,9874200
2017-02-10 00:00:00,64.519997,64.790001,64.370003,64.730003,64.519997,64.790001,64.370003,64.730003,7445800
2017-02-17 00:00:00,65.610001,65.889999,65.410004,65.889999,65.610001,65.889999,65.410004,65.889999,5194700
2017-02-24 00:00:00,65.260002,65.900002,65.169998,65.889999,65.260002,65.900002,65.169998,65.889999,12663000
2017-03-03 00:00:00,66.260002,66.43,66.010002,66.32,66.260002,66.43,66.010002,66.32,5862800
2017-03-10 00:00:00,65.790001,65.839996,65.32,65.839996,65.790001,65.839996,65.32,65.839996,9780500
2017-03-17 00:00:00,65.519997,65.849998,65.389999,65.68,65.519997,65.849998,65.389999,65.68,10880100
2017-03-24 00:00:00,64.68,64.949997,64.25,64.529999,64.68,64.949997,64.25,64.529999,9924600
2017-03-31 00:00:00,65.160004,65.379997,65.059998,65.059998,65.160004,65.379997,65.059998,65.059998,7736100
2017-04-07 00:00:00,65.089996,65.400002,65,65.129997,65.089996,65.400002,65,65.129997,7522700
2017-04-21 00:00:00,65.370003,65.610001,65.220001,65.410004,65.370003,65.610001,65.220001,65.410004,10211400
2017-04-28 00:00:00,66.75,66.889999,66.260002,66.339996,66.75,66.889999,66.260002,66.339996,10296200
2017-05-05 00:00:00,66.669998,66.940002,66.529999,66.919998,66.669998,66.940002,66.529999,66.919998,7110800
2017-05-12 00:00:00,66.5,66.5,66.139999,66.300003,66.5,66.5,66.139999,66.300003,7186400
2017-05-19 00:00:00,65.510002,66.459999,65.510002,66.160004,65.510002,66.459999,65.510002,66.160004,10322300
2017-05-26 00:00:00,67.239998,67.5,67.220001,67.410004,67.239998,67.5,67.220001,67.410004,5991000
2017-06-02 00:00:00,68.059998,68.580002,68.050003,68.209999,68.059998,68.580002,68.050003,68.209999,17769600
2017-06-09 00:00:00,67.720001,68.010002,67.559998,67.910004,67.720001,68.010002,67.559998,67.910004,10433700
2017-06-16 00:00:00,68.589996,68.720001,68.43,68.68,68.589996,68.720001,68.43,68.68,12871600
2017-06-23 00:00:00,67.82,68.160004,67.669998,68.010002,67.82,68.160004,67.669998,68.010002,6979300
2017-06-30 00:00:00,67.809998,68.440002,67.809998,68.110001,67.809998,68.440002,67.809998,68.110001,6748500
2017-07-07 00:00:00,68.300003,68.870003,68.239998,68.660004,68.300003,68.870003,68.239998,68.660004,4166700
2017-07-14 00:00:00,69.239998,69.580002,69.110001,69.43,69.239998,69.580002,69.110001,69.43,5519200
2017-07-21 00:00:00,68.57,68.809998,68.339996,68.779999,68.57,68.809998,68.339996,68.779999,7600500
2017-07-28 00:00:00,68.169998,68.449997,68.019997,68.400002,68.169998,68.449997,68.019997,68.400002,11435700
2017-08-04 00:00:00,68.720001,68.910004,68.599998,68.879997,68.720001,68.910004,68.599998,68.879997,12746000
2017-08-11 00:00:00,67.849998,68.18,67.779999,67.860001,67.849998,68.18,67.779999,67.860001,10501200
2017-08-18 00:00:00,67.080002,67.610001,67,67.150002,67.080002,67.610001,67,67.150002,14111100
2017-08-25 00:00:00,67.489998,67.760002,67.410004,67.5,67.489998,67.760002,67.410004,67.5,7846300
2017-09-01 00:00:00,68.610001,68.800003,68.519997,68.519997,68.610001,68.800003,68.519997,68.519997,14501900
2017-09-08 00:00:00,67.709999,68.370003,67.610001,68.269997,67.709999,68.370003,67.610001,68.269997,8067000
2017-09-15 00:00:00,69.150002,69.419998,69,69.389999,69.150002,69.419998,69,69.389999,9989800
2017-09-22 00:00:00,70.620003,70.82,70.550003,70.75,70.620003,70.82,70.550003,70.75,3533900
2017-09-29 00:00:00,70.75,71.010002,70.620003,71,70.75,71.010002,70.620003,71,6527200
2017-10-06 00:00:00,71.839996,72.019997,71.660004,71.940002,71.839996,72.019997,71.660004,71.940002,4445400
2017-10-13 00:00:00,72.489998,72.620003,72,72.059998,72.489998,72.620003,72,72.059998,5759000
2017-10-20 00:00:00,72.199997,72.959999,72.010002,72.959999,72.199997,72.959999,72.010002,72.959999,9043400
2017-10-27 00:00:00,72.190002,72.519997,72.150002,72.32,72.190002,72.519997,72.150002,72.32,7534200
2017-11-03 00:00:00,71.889999,71.970001,71.650002,71.830002,71.889999,71.970001,71.650002,71.830002,6975000
2017-11-10 00:00:00,70.809998,71.150002,70.690002,71.059998,70.809998,71.150002,70.690002,71.059998,5344800
2017-11-17 00:00:00,70.639999,70.75,70.449997,70.5,70.639999,70.75,70.449997,70.5,7745100
2017-11-24 00:00:00,71.589996,71.599998,71.370003,71.410004,71.589996,71.599998,71.370003,71.410004,3387500
2017-12-01 00:00:00,74.379997,74.489998,72.760002,73.589996,74.379997,74.489998,72.760002,73.589996,29693700
2017-12-08 00:00:00,74.75,74.75,74.379997,74.690002,74.75,74.75,74.379997,74.690002,6804500
2017-12-15 00:00:00,74.440002,74.709999,74.029999,74.519997,74.440002,74.709999,74.029999,74.519997,8935000
2017-12-22 00:00:00,75.540001,75.540001,75.199997,75.400002,75.540001,75.540001,75.199997,75.400002,3730500
2017-12-29 00:00:00,75.970001,76,75.599998,75.669998,75.970001,76,75.599998,75.669998,4825900
2018-01-05 00:00:00,77.459999,77.660004,77.029999,77.620003,77.459999,77.660004,77.029999,77.620003,16996200
2018-01-12 00:00:00,79.790001,80.25,79.650002,80.169998,79.790001,80.25,79.650002,80.169998,7436200
2018-01-19 00:00:00,79.779999,79.790001,79.330002,79.690002,79.779999,79.790001,79.330002,79.690002,8657700
2018-01-26 00:00:00,79.980003,80.660004,79.709999,80.660004,79.980003,80.660004,79.709999,80.660004,8008300
2018-02-02 00:00:00,79.110001,79.239998,77.970001,77.989998,79.110001,79.239998,77.970001,77.989998,17929500
2018-02-09 00:00:00,73.870003,74.43,71.489998,73.809998,73.870003,74.43,71.489998,73.809998,40362500
2018-02-16 00:00:00,77.089996,78.07,77.029999,77.290001,77.089996,78.07,77.029999,77.290001,11161700
2018-02-23 00:00:00,77.400002,77.720001,76.970001,77.68,77.400002,77.720001,76.970001,77.68,6603300
2018-03-02 00:00:00,74.5,75.349998,73.980003,75.129997,74.5,75.349998,73.980003,75.129997,27076400
2018-03-09 00:00:00,77.269997,78.449997,77.029999,78.449997,77.269997,78.449997,77.029999,78.449997,13092600
2018-03-16 00:00:00,76.089996,76.849998,76.089996,76.580002,76.089996,76.849998,76.089996,76.580002,10840000
2018-03-23 00:00:00,73.93,74.5,72.68,72.739998,73.93,74.5,72.68,72.739998,15457100
2018-04-06 00:00:00,74.099998,74.550003,72.110001,72.769997,74.099998,74.550003,72.110001,72.769997,18353400
2018-04-13 00:00:00,74.669998,74.709999,73.629997,73.989998,74.669998,74.709999,73.629997,73.989998,9904100
2018-04-20 00:00:00,76.25,76.349998,75.330002,75.599998,76.25,76.349998,75.330002,75.599998,11612800
2018-04-27 00:00:00,73,73.330002,72.720001,73.190002,73,73.330002,72.720001,73.190002,11555800
2018-05-04 00:00:00,70.900002,72.5,70.82,72.260002,70.900002,72.5,70.82,72.260002,11695500
2018-05-11 00:00:00,74.650002,75.029999,74.510002,74.709999,74.650002,75.029999,74.510002,74.709999,8060000
2018-05-18 00:00:00,74.889999,75.470001,74.860001,75.330002,74.889999,75.470001,74.860001,75.330002,7482900
2018-05-25 00:00:00,75.68,75.940002,75.470001,75.690002,75.68,75.940002,75.470001,75.690002,8111800
2018-06-01 00:00:00,74.870003,75.389999,74.82,75.260002,74.870003,75.389999,74.82,75.260002,9717100
