period,bid_price_open,bid_price_high,bid_price_low,bid_price_close,ask_price_open,ask_price_high,ask_price_low,ask_price_close,volume
2015-10-09 00:00:00,41.419998,41.509998,41.25,41.48,41.419998,41.509998,41.25,41.48,11376500
2015-10-16 00:00:00,42,42,41.720001,41.970001,42,42,41.720001,41.970001,7486300
2015-10-23 00:00:00,43.700001,44,43.560001,43.830002,43.700001,44,43.560001,43.830002,16691700
2015-10-30 00:00:00,44.009998,44.02,43.639999,43.650002,44.009998,44.02,43.639999,43.650002,9339500
2015-11-06 00:00:00,44.139999,44.360001,43.98,44.34,44.139999,44.360001,43.98,44.34,6868900
2015-11-13 00:00:00,43.07,43.130001,42.360001,42.369999,43.07,43.130001,42.360001,42.369999,15044900
2015-11-20 00:00:00,44.060001,44.220001,44.009998,44.200001,44.060001,44.220001,44.009998,44.200001,7288200
2015-11-27 00:00:00,43.860001,43.990002,43.790001,43.91,43.860001,43.990002,43.790001,43.91,3800700
2015-12-04 00:00:00,43.630001,44.650002,43.540001,44.57,43.630001,44.650002,43.540001,44.57,12840200
2015-12-11 00:00:00,43.23,43.34,42.77,42.799999,43.23,43.34,42.77,42.799999,16960300
2015-12-18 00:00:00,42.880001,42.970001,42.099998,42.169998,42.880001,42.970001,42.099998,42.169998,22813900
2016-01-08 00:00:00,40.759998,40.900002,40.040001,40.09,40.759998,40.900002,40.040001,40.09,19233100
2016-01-15 00:00:00,39.16,39.720001,38.860001,39.34,39.16,39.720001,38.860001,39.34,20137500
2016-01-22 00:00:00,40.040001,40.389999,39.98,40.380001,40.040001,40.389999,39.98,40.380001,11248200
2016-01-29 00:00:00,40.310001,41.27,40.23,41.240002,40.310001,41.27,40.23,41.240002,16113300
2016-02-05 00:00:00,40.48,40.549999,39.34,39.5,40.48,40.549999,39.34,39.5,23777400
2016-02-12 00:00:00,39.040001,39.299999,38.82,39.27,39.040001,39.299999,38.82,39.27,10893400
2016-02-19 00:00:00,40.48,40.779999,40.380001,40.66,40.48,40.779999,40.380001,40.66,8579300
2016-02-26 00:00:00,41.599998,41.639999,41.169998,41.259998,41.599998,41.639999,41.169998,41.259998,9772600
2016-03-04 00:00:00,42.32,42.630001,42.150002,42.419998,42.32,42.630001,42.150002,42.419998,7885900
2016-03-11 00:00:00,42.639999,42.880001,42.540001,42.869999,42.639999,42.880001,42.540001,42.869999,8820100
2016-03-18 00:00:00,43.689999,43.720001,43.400002,43.59,43.689999,43.720001,43.400002,43.59,9414400
2016-04-01 00:00:00,44.049999,44.720001,44.009998,44.700001,44.049999,44.720001,44.009998,44.700001,9654900
2016-04-08 00:00:00,44.119999,44.290001,43.740002,43.889999,44.119999,44.290001,43.740002,43.889999,8762800
2016-04-15 00:00:00,44.450001,44.57,44.25,44.34,44.450001,44.57,44.25,44.34,6460900
2016-04-22 00:00:00,43.509998,43.73,43.209999,43.439999,43.509998,43.73,43.209999,43.439999,14924400
2016-04-29 00:00:00,42.259998,42.330002,41.82,42.130001,42.259998,42.330002,41.82,42.130001,11896200
2016-05-06 00:00:00,41.759998,42.25,41.759998,42.25,41.759998,42.25,41.759998,42.25,9202900
2016-05-13 00:00:00,42.360001,42.619999,42.16,42.209999,42.360001,42.619999,42.16,42.209999,10921300
2016-05-20 00:00:00,42.450001,42.830002,42.419998,42.73,42.450001,42.830002,42.419998,42.73,5873000
2016-05-27 00:00:00,43.880001,44.16,43.830002,44.099998,43.880001,44.16,43.830002,44.099998,7778500
2016-06-03 00:00:00,43.98,44.040001,43.700001,43.939999,43.98,44.040001,43.700001,43.939999,8296200
2016-06-10 00:00:00,43.959999,44.110001,43.810001,43.959999,43.959999,44.110001,43.810001,43.959999,8282600
2016-06-17 00:00:00,43.25,43.349998,42.860001,43.049999,43.25,43.349998,42.860001,43.049999,11465200
2016-06-24 00:00:00,42.419998,43.139999,42.189999,42.279999,42.419998,43.139999,42.189999,42.279999,23623000
2016-07-01 00:00:00,43.400002,43.599998,43.34,43.470001,43.400002,43.599998,43.34,43.470001,7474700
2016-07-08 00:00:00,43.66,44.16,43.610001,44.130001,43.66,44.16,43.610001,44.130001,12748000
2016-07-15 00:00:00,45.200001,45.200001,44.880001,45.009998,45.200001,45.200001,44.880001,45.009998,4864800
2016-07-22 00:00:00,45.529999,45.830002,45.43,45.830002,45.529999,45.830002,45.43,45.830002,4707300
2016-07-29 00:00:00,46.48,46.560001,46.310001,46.450001,46.48,46.560001,46.310001,46.450001,10589700
2016-08-05 00:00:00,46.75,47.07,46.700001,47.049999,46.75,47.07,46.700001,47.049999,6063100
2016-08-12 00:00:00,47.150002,47.150002,47.009998,47.110001,47.150002,47.150002,47.009998,47.110001,3468700
2016-08-19 00:00:00,46.860001,47.060001,46.75,47.02,46.860001,47.060001,46.75,47.02,4788100
2016-08-26 00:00:00,47,47.389999,46.799999,47.049999,47,47.389999,46.799999,47.049999,12113600
2016-09-02 00:00:00,47.369999,47.48,47.139999,47.349998,47.369999,47.48,47.139999,47.349998,6907200
2016-09-09 00:00:00,46.889999,47.060001,46.16,46.16,46.889999,47.060001,46.16,46.16,16809200
2016-09-16 00:00:00,47.400002,47.400002,47,47.209999,47.400002,47.400002,47,47.209999,15883100
