period,bid_price_open,bid_price_high,bid_price_low,bid_price_close,ask_price_open,ask_price_high,ask_price_low,ask_price_close,volume
2015-10-09 00:00:00,49.439999,49.610001,49.299999,49.459999,49.439999,49.610001,49.299999,49.459999,12459500
2015-10-16 00:00:00,49.200001,49.68,49.189999,49.630001,49.200001,49.68,49.189999,49.630001,6898500
2015-10-23 00:00:00,51,51.130001,50.459999,50.740002,51,51.130001,50.459999,50.740002,13360200
2015-10-30 00:00:00,50.279999,50.279999,49.869999,49.880001,50.279999,50.279999,49.869999,49.880001,8577100
2015-11-06 00:00:00,49.490002,49.580002,48.82,49.18,49.490002,49.580002,48.82,49.18,13747200
2015-11-13 00:00:00,48.110001,48.330002,47.790001,47.830002,48.110001,48.330002,47.790001,47.830002,9112400
2015-11-20 00:00:00,49.650002,49.880001,49.040001,49.080002,49.650002,49.880001,49.040001,49.080002,5487200
2015-11-27 00:00:00,49.75,50.07,49.75,49.959999,49.75,50.07,49.75,49.959999,2712600
2015-12-04 00:00:00,49.459999,50.48,49.259998,50.439999,49.459999,50.48,49.259998,50.439999,12783200
2015-12-11 00:00:00,49.529999,49.830002,49.34,49.48,49.529999,49.830002,49.34,49.48,11597900
2015-12-18 00:00:00,50.18,50.18,49.34,49.34,50.18,50.18,49.34,49.34,14720600
2016-01-08 00:00:00,49.720001,49.720001,48.919998,49.02,49.720001,49.720001,48.919998,49.02,14691000
2016-01-15 00:00:00,48.240002,48.619999,47.919998,48.299999,48.240002,48.619999,47.919998,48.299999,24210900
2016-01-22 00:00:00,49.009998,49.389999,48.630001,49.290001,49.009998,49.389999,48.630001,49.290001,13754500
2016-01-29 00:00:00,50.09,50.830002,49.860001,50.759998,50.09,50.830002,49.860001,50.759998,20576300
2016-02-05 00:00:00,49.799999,49.950001,49.369999,49.630001,49.799999,49.950001,49.369999,49.630001,20073300
2016-02-12 00:00:00,49.669998,50.080002,49.439999,50.07,49.669998,50.080002,49.439999,50.07,12464000
2016-02-19 00:00:00,50.619999,50.939999,50.34,50.84,50.619999,50.939999,50.34,50.84,9795000
2016-02-26 00:00:00,51.959999,51.959999,50.990002,51.09,51.959999,51.959999,50.990002,51.09,28143900
2016-03-04 00:00:00,51.799999,52.169998,51.599998,52.040001,51.799999,52.169998,51.599998,52.040001,17384700
2016-03-11 00:00:00,52.540001,52.650002,52.259998,52.450001,52.540001,52.650002,52.259998,52.450001,12880500
2016-03-18 00:00:00,52.810001,52.860001,52.57,52.650002,52.810001,52.860001,52.57,52.650002,13037000
2016-04-01 00:00:00,52.84,53.77,52.77,53.619999,52.84,53.77,52.77,53.619999,14840300
2016-04-08 00:00:00,53.349998,53.470001,53.240002,53.41,53.349998,53.470001,53.240002,53.41,7040200
2016-04-15 00:00:00,52.700001,53.060001,52.639999,53.040001,52.700001,53.060001,52.639999,53.040001,12384200
2016-04-22 00:00:00,51.599998,51.959999,51.540001,51.959999,51.599998,51.959999,51.540001,51.959999,22004200
2016-04-29 00:00:00,52.400002,52.41,51.990002,52.299999,52.400002,52.41,51.990002,52.299999,13198500
2016-05-06 00:00:00,52.889999,53.240002,52.720001,53.240002,52.889999,53.240002,52.720001,53.240002,8435400
2016-05-13 00:00:00,53.790001,53.869999,53.150002,53.240002,53.790001,53.869999,53.150002,53.240002,10657700
2016-05-20 00:00:00,52.57,52.599998,52.099998,52.16,52.57,52.599998,52.099998,52.16,7050800
2016-05-27 00:00:00,53,53.09,52.830002,53,53,53.09,52.830002,53,7873000
