period,bid_price_open,bid_price_high,bid_price_low,bid_price_close,ask_price_open,ask_price_high,ask_price_low,ask_price_close,volume
2015-10-09 00:00:00,30.200001,30.200001,30.059999,30.16,30.200001,30.200001,30.059999,30.16,4300
2015-10-16 00:00:00,30.596001,30.66,30.596001,30.642,30.596001,30.66,30.596001,30.642,400
2015-10-23 00:00:00,31.052999,31.07,30.940001,31.07,31.052999,31.07,30.940001,31.07,3500
2015-10-30 00:00:00,30.950001,30.950001,30.950001,30.950001,30.950001,30.950001,30.950001,30.950001,200
2015-11-06 00:00:00,30.379999,30.379999,29.950001,29.950001,30.379999,30.379999,29.950001,29.950001,9000
2015-11-13 00:00:00,29.82,29.870001,29.556,29.559999,29.82,29.870001,29.556,29.559999,47700
2015-11-20 00:00:00,30.709999,30.77,30.709999,30.76,30.709999,30.77,30.709999,30.76,600
2015-11-27 00:00:00,30.68,30.68,30.68,30.68,30.68,30.68,30.68,30.68,0
2015-12-04 00:00:00,30.309999,30.83,30.309999,30.620001,30.309999,30.83,30.309999,30.620001,4400
2015-12-11 00:00:00,30.18,30.18,30.138,30.138,30.18,30.18,30.138,30.138,300
2015-12-18 00:00:00,30.563,30.59,30.35,30.35,30.563,30.59,30.35,30.35,1400
2016-01-08 00:00:00,30.51,30.518999,30.08,30.110001,30.51,30.518999,30.08,30.110001,4000
2016-01-15 00:00:00,29.146,29.299999,29.146,29.25,29.146,29.299999,29.146,29.25,1400
2016-01-22 00:00:00,29.465,29.48,29.457001,29.48,29.465,29.48,29.457001,29.48,300
2016-01-29 00:00:00,29.01,29.200001,29.01,29.190001,29.01,29.200001,29.01,29.190001,600
2016-02-05 00:00:00,29.209999,29.209999,29.098,29.098,29.209999,29.209999,29.098,29.098,200
2016-02-12 00:00:00,27.219999,27.507999,27.219999,27.49,27.219999,27.507999,27.219999,27.49,1800
2016-02-19 00:00:00,28.66,28.66,28.66,28.66,28.66,28.66,28.66,28.66,200
2016-02-26 00:00:00,29.5,29.504999,29.370001,29.370001,29.5,29.504999,29.370001,29.370001,2500
2016-03-04 00:00:00,30.5,30.530001,30.440001,30.49,30.5,30.530001,30.440001,30.49,1700
2016-03-11 00:00:00,30.780001,30.889999,30.780001,30.889999,30.780001,30.889999,30.780001,30.889999,400
2016-03-18 00:00:00,31.690001,31.780001,31.43,31.469999,31.690001,31.780001,31.43,31.469999,136400
2016-04-01 00:00:00,32.022999,32.227001,32.022999,32.227001,32.022999,32.227001,32.022999,32.227001,700
2016-04-08 00:00:00,32.189999,32.25,32.02,32.02,32.189999,32.25,32.02,32.02,1900
2016-04-15 00:00:00,31.889999,32.110001,31.889999,32.110001,31.889999,32.110001,31.889999,32.110001,700
2016-04-22 00:00:00,31.389999,31.6,31.32,31.459999,31.389999,31.6,31.32,31.459999,2400
2016-04-29 00:00:00,31.65,31.65,31.09,31.379999,31.65,31.65,31.09,31.379999,20100
2016-05-06 00:00:00,32.256001,32.667999,32.235001,32.529999,32.256001,32.667999,32.235001,32.529999,3800
2016-05-13 00:00:00,32.43,32.994999,31.91,32.021,32.43,32.994999,31.91,32.021,3700
2016-05-20 00:00:00,31.25,31.299999,31.224001,31.282,31.25,31.299999,31.224001,31.282,2700
2016-05-27 00:00:00,31.99,32.02,31.864,31.905001,31.99,32.02,31.864,31.905001,1500
2016-06-03 00:00:00,31.91,32.16,31.91,32.043999,31.91,32.16,31.91,32.043999,2400
2016-06-10 00:00:00,32.119999,32.200001,32.119999,32.150002,32.119999,32.200001,32.119999,32.150002,1600
2016-06-17 00:00:00,32.02,32.200001,31.898001,32.169998,32.02,32.200001,31.898001,32.169998,6800
2016-06-24 00:00:00,32,32.25,31.85,32.16,32,32.25,31.85,32.16,5700
2016-07-01 00:00:00,33.830002,33.830002,33.529999,33.57,33.830002,33.830002,33.529999,33.57,4900
2016-07-08 00:00:00,33.73,34,33.601002,33.928001,33.73,34,33.601002,33.928001,17900
2016-07-15 00:00:00,34.040001,34.179001,33.966999,34.179001,34.040001,34.179001,33.966999,34.179001,304400
2016-07-22 00:00:00,34.5,34.720001,34.465,34.599998,34.5,34.720001,34.465,34.599998,10900
2016-07-29 00:00:00,34.360001,34.77,34.360001,34.678001,34.360001,34.77,34.360001,34.678001,17500
2016-08-05 00:00:00,33.98,34.029999,33.880001,33.939999,33.98,34.029999,33.880001,33.939999,21500
2016-08-12 00:00:00,34.110001,34.110001,33.794998,33.880001,34.110001,34.110001,33.794998,33.880001,11600
2016-08-19 00:00:00,33.439999,33.439999,33.130001,33.240002,33.439999,33.439999,33.130001,33.240002,20900
2016-08-26 00:00:00,33.540001,33.580002,32.900002,33.099998,33.540001,33.580002,32.900002,33.099998,33700
2016-09-02 00:00:00,33.400002,33.889999,33.400002,33.59,33.400002,33.889999,33.400002,33.59,48900
2016-09-09 00:00:00,33.220001,33.220001,32.119999,32.16,33.220001,33.220001,32.119999,32.16,906700
2016-09-16 00:00:00,32.049999,32.049999,31.719999,31.91,32.049999,32.049999,31.719999,31.91,2119500
2016-09-23 00:00:00,33.07,33.450001,32.84,33.32,33.07,33.450001,32.84,33.32,19150800
2016-09-30 00:00:00,33.009998,33.279999,32.73,32.77,33.009998,33.279999,32.73,32.77,2058000
2016-10-07 00:00:00,31.190001,31.6,30.9,31.040001,31.190001,31.6,30.9,31.040001,1711500
2016-10-14 00:00:00,31.559999,31.73,31.35,31.42,31.559999,31.73,31.35,31.42,2381400
2016-10-21 00:00:00,31.4,31.610001,31.35,31.6,31.4,31.610001,31.35,31.6,1295700
2016-10-28 00:00:00,30.549999,30.785,30.43,30.530001,30.549999,30.785,30.43,30.530001,2338200
2016-11-04 00:00:00,29.77,30.049999,29.67,29.940001,29.77,30.049999,29.67,29.940001,1757400
2016-11-11 00:00:00,29.469999,29.91,29.469999,29.57,29.469999,29.91,29.469999,29.57,3702500
2016-11-18 00:00:00,29.6,29.809999,29.5,29.709999,29.6,29.809999,29.5,29.709999,1276900
2016-11-25 00:00:00,29.940001,30.23,29.940001,30.059999,29.940001,30.23,29.940001,30.059999,790000
2016-12-02 00:00:00,29.639999,30.121,29.549999,29.83,29.639999,30.121,29.549999,29.83,2399200
2016-12-09 00:00:00,30.940001,31.26,30.93,30.969999,30.940001,31.26,30.93,30.969999,1664600
2016-12-16 00:00:00,30.129999,30.610001,30.09,30.440001,30.129999,30.610001,30.09,30.440001,3455600
2016-12-23 00:00:00,30.32,30.43,30.23,30.33,30.32,30.43,30.23,30.33,931600
2016-12-30 00:00:00,30.43,30.82,30.379999,30.75,30.43,30.82,30.379999,30.75,1853300
2017-01-06 00:00:00,31.25,31.549999,31.24,31.4,31.25,31.549999,31.24,31.4,1747500
2017-01-13 00:00:00,30.67,30.83,30.629999,30.690001,30.67,30.83,30.629999,30.690001,1469600
2017-01-20 00:00:00,30.690001,30.93,30.65,30.9,30.690001,30.93,30.65,30.9,1605100
2017-01-27 00:00:00,30.969999,31,30.52,30.629999,30.969999,31,30.52,30.629999,1649800
2017-02-03 00:00:00,30.91,31.02,30.809999,30.93,30.91,31.02,30.809999,30.93,1745200
2017-02-10 00:00:00,31.02,31.299999,30.98,31.280001,31.02,31.299999,30.98,31.280001,1524500
2017-02-17 00:00:00,31.280001,31.49,31.215,31.4,31.280001,31.49,31.215,31.4,3247900
2017-02-24 00:00:00,31.92,32.095001,31.77,32.080002,31.92,32.095001,31.77,32.080002,2542500
2017-03-03 00:00:00,31.889999,31.959999,31.57,31.860001,31.889999,31.959999,31.57,31.860001,1804500
2017-03-10 00:00:00,30.91,31.16,30.540001,30.719999,30.91,31.16,30.540001,30.719999,1691100
2017-03-17 00:00:00,31.08,31.247,31.01,31.1,31.08,31.247,31.01,31.1,2376300
2017-03-24 00:00:00,31.440001,31.530001,31.268,31.35,31.440001,31.530001,31.268,31.35,3880200
2017-03-31 00:00:00,31.42,31.700001,31.379999,31.6,31.42,31.700001,31.379999,31.6,2066900
2017-04-07 00:00:00,31.780001,31.940001,31.73,31.82,31.780001,31.940001,31.73,31.82,1401000
2017-04-21 00:00:00,32.400002,32.540001,32.25,32.330002,32.400002,32.540001,32.25,32.330002,2376700
2017-04-28 00:00:00,31.790001,31.82,31.49,31.65,31.790001,31.82,31.49,31.65,1816500
2017-05-05 00:00:00,31.530001,31.76,31.530001,31.75,31.530001,31.76,31.530001,31.75,1717400
2017-05-12 00:00:00,31.469999,31.51,31.32,31.360001,31.469999,31.51,31.32,31.360001,1506800
2017-05-19 00:00:00,31.57,31.93,31.440001,31.780001,31.57,31.93,31.440001,31.780001,1397300
2017-05-26 00:00:00,32.209999,32.268002,31.92,32,32.209999,32.268002,31.92,32,1352100
2017-06-02 00:00:00,32.139999,32.306999,32.07,32.240002,32.139999,32.306999,32.07,32.240002,1224900
2017-06-09 00:00:00,31.98,32.259998,31.889999,32.18,31.98,32.259998,31.889999,32.18,1787600
2017-06-16 00:00:00,32.509998,32.529999,32.310001,32.439999,32.509998,32.529999,32.310001,32.439999,1754100
2017-06-23 00:00:00,32.349998,32.619999,32.346001,32.490002,32.349998,32.619999,32.346001,32.490002,8197700
2017-06-30 00:00:00,32.25,32.450001,32.110001,32.200001,32.25,32.450001,32.110001,32.200001,1256800
2017-07-07 00:00:00,31.52,31.790001,31.52,31.709999,31.52,31.790001,31.52,31.709999,1325000
2017-07-14 00:00:00,31.99,32.240002,31.99,32.200001,31.99,32.240002,31.99,32.200001,1167400
2017-07-21 00:00:00,32.360001,32.470001,32.279999,32.439999,32.360001,32.470001,32.279999,32.439999,1201000
2017-07-28 00:00:00,32.59,32.77,32.52,32.639999,32.59,32.77,32.52,32.639999,2060200
2017-08-04 00:00:00,32.459999,32.66,32.459999,32.59,32.459999,32.66,32.459999,32.59,939600
2017-08-11 00:00:00,32.080002,32.200001,31.823999,31.959999,32.080002,32.200001,31.823999,31.959999,1548100
2017-08-18 00:00:00,32.23,32.23,31.969999,32.060001,32.23,32.23,31.969999,32.060001,1276900
2017-08-25 00:00:00,32.759998,32.91,32.650002,32.799999,32.759998,32.91,32.650002,32.799999,1063600
2017-09-01 00:00:00,32.959999,33.049999,32.880001,32.919998,32.959999,33.049999,32.880001,32.919998,1656200
2017-09-08 00:00:00,33.150002,33.314999,33.080002,33.200001,33.150002,33.314999,33.080002,33.200001,1102000
2017-09-15 00:00:00,32.869999,33.049999,32.790001,33.049999,32.869999,33.049999,32.790001,33.049999,3210600
2017-09-22 00:00:00,32.360001,32.459999,32.076,32.110001,32.360001,32.459999,32.076,32.110001,1542300
2017-09-29 00:00:00,32.169998,32.27,32.07,32.240002,32.169998,32.27,32.07,32.240002,2488500
2017-10-06 00:00:00,32.34,32.435001,32.09,32.400002,32.34,32.435001,32.09,32.400002,1274600
2017-10-13 00:00:00,33.07,33.117001,32.900002,33.02,33.07,33.117001,32.900002,33.02,1857900
2017-10-20 00:00:00,32.790001,32.830002,32.615002,32.73,32.790001,32.830002,32.615002,32.73,1253000
2017-10-27 00:00:00,32.080002,32.310001,31.865,32.189999,32.080002,32.310001,31.865,32.189999,2042500
2017-11-03 00:00:00,32.57,32.799999,32.5,32.75,32.57,32.799999,32.5,32.75,2023300
2017-11-10 00:00:00,33.689999,33.91,33.613998,33.810001,33.689999,33.91,33.613998,33.810001,1760800
2017-11-17 00:00:00,33.619999,33.799999,33.549999,33.560001,33.619999,33.799999,33.549999,33.560001,1758600
2017-11-24 00:00:00,33.59,33.720001,33.59,33.669998,33.59,33.720001,33.59,33.669998,407300
2017-12-01 00:00:00,33.509998,33.639999,33.23,33.509998,33.509998,33.639999,33.23,33.509998,3029400
