period,bid_price_open,bid_price_high,bid_price_low,bid_price_close,ask_price_open,ask_price_high,ask_price_low,ask_price_close,volume
2015-10-09 00:00:00,68.239998,68.730003,67.940002,68.440002,68.239998,68.730003,67.940002,68.440002,13890000
2015-10-16 00:00:00,69.330002,69.860001,69.160004,69.760002,69.330002,69.860001,69.160004,69.760002,17657000
2015-10-23 00:00:00,68.580002,69.690002,68.300003,69.330002,68.580002,69.690002,68.300003,69.330002,26524200
2015-10-30 00:00:00,72.010002,72.209999,71.339996,71.339996,72.010002,72.209999,71.339996,71.339996,12427200
2015-11-06 00:00:00,71.610001,71.82,70.919998,71.75,71.610001,71.82,70.919998,71.75,12661100
2015-11-13 00:00:00,69.599998,70.279999,69.480003,69.57,69.599998,70.279999,69.480003,69.57,18196800
2015-11-20 00:00:00,71.279999,71.870003,71.279999,71.519997,71.279999,71.870003,71.279999,71.519997,9224500
2015-11-27 00:00:00,72.139999,72.220001,71.900002,72.089996,72.139999,72.220001,71.900002,72.089996,2658000
2015-12-04 00:00:00,70.440002,71.889999,70.269997,71.779999,70.440002,71.889999,70.269997,71.779999,14929800
2015-12-11 00:00:00,70.589996,70.879997,70.209999,70.300003,70.589996,70.879997,70.209999,70.300003,15178300
2015-12-18 00:00:00,71.339996,71.43,70.480003,70.489998,71.339996,71.43,70.480003,70.489998,15159800
2016-01-08 00:00:00,69.470001,69.650002,67.900002,68.019997,69.470001,69.650002,67.900002,68.019997,17022800
2016-01-15 00:00:00,66.099998,67.18,65.919998,66.870003,66.099998,67.18,65.919998,66.870003,17882300
2016-01-22 00:00:00,67.730003,68.029999,67.410004,67.849998,67.730003,68.029999,67.410004,67.849998,11343800
2016-01-29 00:00:00,65.260002,66.5,65.07,66.470001,65.260002,66.5,65.07,66.470001,17578200
2016-02-05 00:00:00,65.32,65.5,64.07,64.400002,65.32,65.5,64.07,64.400002,16744000
2016-02-12 00:00:00,63.869999,64.400002,63.330002,64.370003,63.869999,64.400002,63.330002,64.370003,10316000
2016-02-19 00:00:00,65.68,66.120003,65.519997,65.93,65.68,66.120003,65.519997,65.93,8875100
2016-02-26 00:00:00,67.730003,68,67.239998,67.300003,67.730003,68,67.239998,67.300003,10365700
2016-03-04 00:00:00,67.57,67.839996,67.099998,67.410004,67.57,67.839996,67.099998,67.410004,9855700
2016-03-11 00:00:00,67.709999,68.599998,67.660004,68.589996,67.709999,68.599998,67.660004,68.589996,10618300
2016-03-18 00:00:00,66.18,67.080002,66.059998,66.839996,66.18,67.080002,66.059998,66.839996,19524800
2016-04-01 00:00:00,67.5,68.800003,67.370003,68.550003,67.5,68.800003,67.370003,68.550003,9120200
2016-04-08 00:00:00,69.970001,70,68.940002,69.349998,69.970001,70,68.940002,69.349998,12883800
2016-04-15 00:00:00,70.239998,70.239998,69.550003,70.019997,70.239998,70.239998,69.550003,70.019997,7945300
2016-04-22 00:00:00,71.760002,72.110001,71.440002,71.870003,71.760002,72.110001,71.440002,71.870003,12052800
2016-04-29 00:00:00,70.260002,70.400002,69.370003,69.790001,70.260002,70.400002,69.370003,69.790001,13577900
2016-05-06 00:00:00,69.339996,69.540001,68.610001,69.18,69.339996,69.540001,68.610001,69.18,14164300
2016-05-13 00:00:00,69.220001,69.669998,69.080002,69.139999,69.220001,69.669998,69.080002,69.139999,11947300
2016-05-20 00:00:00,69.309998,69.93,69.279999,69.690002,69.309998,69.93,69.279999,69.690002,7925700
2016-05-27 00:00:00,70.809998,71.339996,70.809998,71.18,70.809998,71.339996,70.809998,71.18,9641300
2016-06-03 00:00:00,72.309998,72.550003,71.709999,72.290001,72.309998,72.550003,71.709999,72.290001,13896000
2016-06-10 00:00:00,71.940002,71.980003,71.449997,71.779999,71.940002,71.980003,71.449997,71.779999,10270900
2016-06-17 00:00:00,70.900002,70.93,69.800003,70.059998,70.900002,70.93,69.800003,70.059998,10799100
2016-06-24 00:00:00,69.349998,70.400002,69.050003,69.309998,69.349998,70.400002,69.050003,69.309998,22576500
2016-07-01 00:00:00,71.870003,72.330002,71.639999,72.160004,71.870003,72.330002,71.639999,72.160004,6793100
2016-07-08 00:00:00,73.150002,73.709999,72.760002,73.690002,73.150002,73.709999,72.760002,73.690002,11013200
2016-07-15 00:00:00,74.419998,74.629997,73.989998,74.080002,74.419998,74.629997,73.989998,74.080002,7131300
2016-07-22 00:00:00,74.830002,75.080002,74.610001,74.989998,74.830002,75.080002,74.610001,74.989998,5446500
