period,bid_price_open,bid_price_high,bid_price_low,bid_price_close,ask_price_open,ask_price_high,ask_price_low,ask_price_close,volume
2015-10-09 00:00:00,77.650002,77.790001,77.279999,77.720001,77.650002,77.790001,77.279999,77.720001,8352700
2015-10-16 00:00:00,77.849998,78.32,77.800003,78.290001,77.849998,78.32,77.800003,78.290001,5262900
2015-10-23 00:00:00,80.339996,80.410004,79.209999,79.629997,80.339996,80.410004,79.209999,79.629997,7895100
2015-10-30 00:00:00,80.959999,81.510002,80.75,80.970001,80.959999,81.510002,80.75,80.970001,7771100
2015-11-06 00:00:00,81.199997,81.610001,80.900002,81.419998,81.199997,81.610001,80.900002,81.419998,6593200
2015-11-13 00:00:00,79.32,79.43,77.639999,77.730003,79.32,79.43,77.639999,77.730003,11377200
2015-11-20 00:00:00,80.879997,81.239998,80.68,81.230003,80.879997,81.239998,80.68,81.230003,5564900
2015-11-27 00:00:00,81.790001,81.790001,81.129997,81.470001,81.790001,81.790001,81.129997,81.470001,2282600
2015-12-04 00:00:00,79.970001,81.32,79.779999,81.220001,79.970001,81.32,79.779999,81.220001,7032200
2015-12-11 00:00:00,78.830002,79.129997,77.900002,78.059998,78.830002,79.129997,77.900002,78.059998,10104200
2015-12-18 00:00:00,78.43,78.449997,77.279999,77.330002,78.43,78.449997,77.279999,77.330002,15053000
2016-01-08 00:00:00,75.010002,75.339996,73.440002,73.610001,75.010002,75.339996,73.440002,73.610001,10797700
2016-01-15 00:00:00,71.099998,71.980003,70.669998,71.5,71.099998,71.980003,70.669998,71.5,14551500
2016-01-22 00:00:00,73.220001,73.589996,72.860001,73.309998,73.220001,73.589996,72.860001,73.309998,7185100
2016-01-29 00:00:00,72.940002,74.18,72.669998,74.110001,72.940002,74.18,72.669998,74.110001,11526300
2016-02-05 00:00:00,72.18,72.239998,69.959999,70.160004,72.18,72.239998,69.959999,70.160004,12823400
2016-02-12 00:00:00,69.279999,69.82,68.629997,69.790001,69.279999,69.82,68.629997,69.790001,10927200
2016-02-19 00:00:00,72.080002,72.760002,71.650002,72.739998,72.080002,72.760002,71.650002,72.739998,7591600
2016-02-26 00:00:00,75.389999,75.389999,74.68,74.830002,75.389999,75.389999,74.68,74.830002,6966300
2016-03-04 00:00:00,76.830002,77.050003,76.379997,76.720001,76.830002,77.050003,76.379997,76.720001,7746700
2016-03-11 00:00:00,76.769997,77.300003,76.580002,77.300003,76.769997,77.300003,76.580002,77.300003,5693600
2016-03-18 00:00:00,78.129997,78.470001,77.949997,78.089996,78.129997,78.470001,77.949997,78.089996,9706500
